,PMCID,sentence
0,PMC4281881,"e>
        <p>All custom software is available at <ext-link ext-link-type=""uri"" xlink:href=""https://bitbucket.org/mpinbaierlab/semmelhack-et-al.-2014"">https://bitbucket.org/mpinbaierlab/semmelhack-et-al.-2014<"
1,PMC4281881," ext-link-type=""uri"" xlink:href=""https://bitbucket.org/mpinbaierlab/semmelhack-et-al.-2014"">https://bitbucket.org/mpinbaierlab/semmelhack-et-al.-2014</ext-link>.</p>
      </sec>
    </sec>
  </body>
  <back>
"
0,PMC4458516,e upon request (<email>kchuang@stanford.edu</email>); the release version will be made available on Bitbucket. Related scripts for measurement of periplasmic leakage (peripheral fluorescence) and outer membran
1,PMC4458516,"pheral fluorescence) and outer membrane blebs/vesicles (fluorescent puncta) are also available from Bitbucket in the kchuanglab/Gray_eLife_CpoB repository. To measure fluorescence profiles along cell outlines,"
0,PMC4547091,"tometry tool kit, which can be accessed at <ext-link ext-link-type=""uri"" xlink:href=""http://gorelab.bitbucket.org/flowcytometrytools/"">http://gorelab.bitbucket.org/flowcytometrytools/</ext-link>. The code for "
1,PMC4547091,"nk ext-link-type=""uri"" xlink:href=""http://gorelab.bitbucket.org/flowcytometrytools/"">http://gorelab.bitbucket.org/flowcytometrytools/</ext-link>. The code for the Gillespie simulation of the toggle switch has "
0,PMC4623597,"code is open source and available for download at <ext-link ext-link-type=""uri"" xlink:href=""https://bitbucket.org/aarvey/treg_epigen"">https://bitbucket.org/aarvey/treg_epigen</ext-link>.</p>
      </sec>
    <"
1,PMC4623597,"load at <ext-link ext-link-type=""uri"" xlink:href=""https://bitbucket.org/aarvey/treg_epigen"">https://bitbucket.org/aarvey/treg_epigen</ext-link>.</p>
      </sec>
    </sec>
    <sec id=""s5"">
      <title>Ethic"
2,PMC4623597," &#x223C;10K lines of code from custom libraries. All code and cached data have been deposited to a BitBucket git code repository;</p>
      <p>c) We have reorganized figures and greatly expanded details in le"
0,PMC4758951,"additional guarantee of availability though the journal and/or an outside authority like GitHub (or BitBucket, or similar; we do not wish to proscribe the channel for release).</p>
      <p>2) Clarify the meth"
1,PMC4758951,"additional guarantee of availability though the journal and/or an outside authority like GitHub (or BitBucket, or similar; we do not wish to proscribe the channel for release).</p>
      <p>We agree, and have "
0,PMC4912838,"for testing our predictions are available online (<ext-link ext-link-type=""uri"" xlink:href=""https://bitbucket.org/bbu20/optimdendr"">https://bitbucket.org/bbu20/optimdendr</ext-link>).</p>
      <sec id=""s4-1"">"
1,PMC4912838,"e online (<ext-link ext-link-type=""uri"" xlink:href=""https://bitbucket.org/bbu20/optimdendr"">https://bitbucket.org/bbu20/optimdendr</ext-link>).</p>
      <sec id=""s4-1"">
        <title>Computing the optimal re"
0,PMC4946898,"Prism 6 (GraphPad software Inc.). Shell scripts used to generate these data are freely available in BitBucket (<ext-link ext-link-type=""uri"" xlink:href=""https://bitbucket.org/WTCMPCPG/tb_antigenic_variation"">h"
1,PMC4946898,"ate these data are freely available in BitBucket (<ext-link ext-link-type=""uri"" xlink:href=""https://bitbucket.org/WTCMPCPG/tb_antigenic_variation"">https://bitbucket.org/WTCMPCPG/tb_antigenic_variation</ext-lin"
2,PMC4946898,"link ext-link-type=""uri"" xlink:href=""https://bitbucket.org/WTCMPCPG/tb_antigenic_variation"">https://bitbucket.org/WTCMPCPG/tb_antigenic_variation</ext-link>). Sequences are available at the European Nucleotide"
0,PMC5114016,"d complex spatiotemporal dynamics in noisy multisite data is available as an open-source release on BitBucket: <ext-link ext-link-type=""uri"" xlink:href=""http://bitbucket.org/lylemuller/wave-matlab"">http://bitb"
1,PMC5114016," available as an open-source release on BitBucket: <ext-link ext-link-type=""uri"" xlink:href=""http://bitbucket.org/lylemuller/wave-matlab"">http://bitbucket.org/lylemuller/wave-matlab</ext-link></p>
      </sec>"
2,PMC5114016,"cket: <ext-link ext-link-type=""uri"" xlink:href=""http://bitbucket.org/lylemuller/wave-matlab"">http://bitbucket.org/lylemuller/wave-matlab</ext-link></p>
      </sec>
    </sec>
  </body>
  <back>
    <sec sec-t"
3,PMC5114016,"statistical tests and the data analysis procedures used. It is stated that the code is available on bitbucket, but when looked for by one of the reviewers, access was not possible, thus preventing a better und"
