,PMCID,sentence
0,PMC4067075,"e module Ruffus (<xref rid=""bib24"" ref-type=""bibr"">Goodstadt, 2010</xref>) for task management. The code is available through an open source MIT license at <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/"
0,PMC4362207,"odules. The final stage validates the actual drivers and refines the modules accordingly. The GEMOT code is available at <ext-link ext-link-type=""uri"" xlink:href=""http://csgi.tau.ac.il/gemot/"">http://csgi.tau.ac.il/ge"
0,PMC4450441,"marized in <xref ref-type=""fig"" rid=""fig2s5"">Figure 2&#x2014;figure supplement 5</xref>. The source code is available at <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/JIC-CSB/root-image-analysis"">https:"
0,PMC4456510,"egion at least 15 ms in length, we labeled that as a male region with a female pulse. The automated code is available on github (<ext-link ext-link-type=""uri"" xlink:href=""https://github.com/murthylab/virilisSongSegmen"
0,PMC4491593,"
      <p>All simulations and graphics were produced with Igor (Wavemetrics, Tigard, OR). Annotated code is available as a supplement to this article (<xref ref-type=""supplementary-material"" rid=""SD1-data"">Source Code"
0,PMC4629441,"ure. <ext-link ext-link-type=""uri"" xlink:href=""http://Hippocampome.org"">Hippocampome.org</ext-link> code is available open source at <ext-link ext-link-type=""uri"" xlink:href=""http://github.com"">github.com</ext-link>/<"
0,PMC4811773," at <ext-link ext-link-type=""uri"" xlink:href=""http://catmaid.org"">http://catmaid.org</ext-link> and code is available at <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/catmaid/CATMAID"">https://github.com"
0,PMC4880447,"""bib62"" ref-type=""bibr"">Yemini et al., 2013</xref>), save for a few minor modifications. The source code is available at <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/openworm/SegWorm"">https://github.co"
0,PMC4887222,"as principal component analysis (PCA) and linear discriminant analysis (LDA).</p>
      <p>The dPCA code is available at <ext-link ext-link-type=""uri"" xlink:href=""http://github.com/machenslab/dPCA"">http://github.com/m"
1,PMC4887222,"t.</p>
      </sec>
      <sec id=""s4-23"">
        <title>Data and code</title>
        <p>The dPCA code is available at <ext-link ext-link-type=""uri"" xlink:href=""http://github.com/machenslab/dPCA"">http://github.com/m"
2,PMC4887222," original submission. This was stated at the end of our Introduction.</p>
      <p>&#x201C;The dPCA code is available at <ext-link ext-link-type=""uri"" xlink:href=""http://github.com/wielandbrendel/dPCA"">http://github.c"
3,PMC4887222," our Introduction. We now included a reminder of this in the Methods.</p>
      <p>&#x201C;The dPCA code is available at <ext-link ext-link-type=""uri"" xlink:href=""http://github.com/wielandbrendel/dPCA"">http://github.c"
0,PMC4951195,"
      </sec>
      <sec id=""s4-9"">
        <title>Code availability</title>
        <p>The program code is available at the following address.</p>
        <p>
          <ext-link ext-link-type=""uri"" xlink:href=""http:"
0,PMC4981497," (image processing toolbox for Matlab, Delft University of Technology, The Netherlands). The Matlab code is available at <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/svcostes/Elife_Pearson_Script"">http"
1,PMC4981497,"> and <xref ref-type=""supplementary-material"" rid=""SD6-data"">Figure 4&#x2014;source data 1</xref>). Code is available at <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/jmswenson/variegation"">https://gith"
0,PMC4987135,"r arena</title>
        <p>Data analysis was performed in the R software environment and the source code is available at <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/kevin-allen/prog_perez_escobar_2016"
0,PMC5114016,"e information on the statistical tests and the data analysis procedures used. It is stated that the code is available on bitbucket, but when looked for by one of the reviewers, access was not possible, thus preventing"
1,PMC5114016,"e information on the statistical tests and the data analysis procedures used. It is stated that the code is available on bitbucket, but when looked for by one of the reviewers, access was not possible, thus preventing"
0,PMC5179194," sequence and the barcode sequence in the beginning of the read were identified. The xcalibr source code is available at <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/NKI-GCF/xcalibr"">https://github.com"
0,PMC5182066,"lular mechanisms turned off (<xref ref-type=""fig"" rid=""fig3"">Figure 3D&#x2013;G</xref>). The source code is available in the &#x2018;lg_model&#x2019;&#xA0;in&#xA0;<xref rid=""bib22"" ref-type=""bibr"">Rost et al., 2016a</"
0,PMC5201417,"est.</p>
      </sec>
      <sec id=""s4-11"">
        <title>Download</title>
        <p>EDGE source code is available at: <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/mgelbart/embryo-development-geomet"
0,PMC5201421,"sec>
    <sec id=""s4"">
      <title>Materials&#xA0;and&#xA0;methods</title>
      <p>All simulation code is available online: <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/ahwillia/Williams-etal-Synapti"
0,PMC5218537,"used to find P-values for pooled Mg and dietary restriction groups relative to controls. The MATLAB code is available from the Dryad Digital Repository (<xref rid=""bib9"" ref-type=""bibr"">Chubanov and Gudermann, 2016</x"
0,PMC5243027,"model were solved using Euler integration with a time step of 0.5 ms. Model simulation and analysis code is available at <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/jbonaiuto/perceptual-choice-hystere"
0,PMC5268739,"<p>1) Please make sure that your deep sequencing data is available on the SRA and relevant computer code is available as supporting file or on a publicly accessible repository. If this is already the case, please clea"
1,PMC5268739,"ic>1) Please make sure that your deep sequencing data is available on the SRA and relevant computer code is available as supporting file or on a publicly accessible repository. If this is already the case, please clea"
0,PMC5313080,".</p>
      </sec>
      <sec id=""s4-12"">
        <title>Accessibility</title>
        <p>Our model code is available online at ModelDB, entry #187604 (<ext-link ext-link-type=""uri"" xlink:href=""https://senselab.med.ya"
0,PMC5323045,"sentations were generated by scatter plotting a subset of the geometry object's nodes. This and all code is available for download at github.org/marderlab/Quantifying_Morphology.</p>
      </sec>
      <sec id=""s4-8"">"
0,PMC5330681,"tions in <italic>P. vivax</italic> infections could be done by shifting the age distribution. Model code is available in <xref ref-type=""supplementary-material"" rid=""SD3-data"">Source&#xA0;code&#xA0;1</xref>. <xref ref"
0,PMC5352225,"using custom written MATLAB code (The Mathworks) on the Harvard Research Computing Odyssey cluster. Code is available at <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/furchtgott/sibilant"">https://github"
0,PMC5352226,"using custom written MATLAB code (The Mathworks) on the Harvard Research Computing Odyssey cluster. Code is available at <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/furchtgott/sibilant"">https://github"
0,PMC5391211,"e>
      <p>In this section, we provide the mathematical and implementational details of our model. Code is available at <xref rid=""bib64"" ref-type=""bibr"">Gershman, 2017</xref>, <ext-link ext-link-type=""uri"" xlink:hre"
0,PMC5413353,"here specific examples of DeBias analysis in co-orientation and co-localization studies. The source code is available, <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/DanuserLab/DeBias"">https://github.com"
0,PMC5440167,"link:href=""https://neurodata.io/data/tobin17."">https://neurodata.io/data/tobin17.</ext-link> Custom code is available at: <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/htem/tobin17"">https://github.com/h"
0,PMC5440168,"xref>).</p>
        <p>All simulations were performed with the python programming language, and all code is available at <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/hrouault/ang_veloc_integr"">https://"
0,PMC5441876,"ted us to capture more than 280,000 run-tumble events from approximately 1500 individuals. Tracking code is available (<xref rid=""bib41"" ref-type=""bibr"">Mickalide et al., 2017</xref>).</p>
        <p>We identified run"
1,PMC5441876,"=""bibr"">Jordan et al., 2013</xref>; <xref rid=""bib27"" ref-type=""bibr"">Jaqaman et al., 2008</xref>). Code is available at <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/dfraebel/CellTracking"">https://gith"
0,PMC5517148,"parameters of the basic model, see <xref rid=""bib19"" ref-type=""bibr"">Gebhardt et al. (2012</xref>). Code is available via GitHub (<xref rid=""bib69"" ref-type=""bibr"">Weth, 2017</xref>). A copy is archived at <ext-link e"
0,PMC5531832,"f-type=""bibr"">Grogan, 2017</xref>), and SPSS (RRID:SCR_002865) for statistical tests. A copy of the code is available at <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/elifesciences-publications/Effects-"
0,PMC5546814,"doi.org/10.6080/K0SN074B"">http://dx.doi.org/10.6080/K0SN074B</ext-link></p>
        <p>All research code is available under a MIT License from (<xref rid=""bib34"" ref-type=""bibr"">Humphries, 2017</xref>): <ext-link ext-"
0,PMC5582872,"utational rate model was implemented in Matlab (MathWorks) using C&#xA0;++&#xA0;MEX, and the source code is available at ModelDB (<ext-link ext-link-type=""uri"" xlink:href=""https://senselab.med.yale.edu/ModelDB"">https:"
1,PMC5582872,"ng network simulations</title>
        <p>The spiking network model was implemented in C++, and the code is available at ModelDB (<ext-link ext-link-type=""uri"" xlink:href=""https://senselab.med.yale.edu/ModelDB"">https:"
0,PMC5584990,"The CRs were then masked before processing the pupil image to avoid false detection of pupil edges. Code is available at <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/hpay/eyetrack"">https://github.com/h"
0,PMC5605196,"le-cell imaging methods (<xref rid=""bib9"" ref-type=""bibr"">Drescher et al., 2016</xref>). The custom code is available online at GitHub (<xref rid=""bib17"" ref-type=""bibr"">Hartmann, 2017</xref>; a copy is archived at <e"
0,PMC5633344," eliminating segmented mitochondria pixels that overlapped with segmented peroxisomes. Segmentation code is available at <ext-link ext-link-type=""uri"" xlink:href=""http://www.github.com/deniclab/pyto_segmenter"">http://"
0,PMC5643088,"<xref rid=""bib38"" ref-type=""bibr"">Hunter, 2007</xref>) or GraphPad Prism and Adobe Illustrator. The code is available at <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/surmeierlab/neurphys"">https://githu"
0,PMC5644961," code for the tracking and autofocus system be made available?</p>
      </disp-quote>
      <p>The code is available in the supplementary software.</p>
      <disp-quote content-type=""editor-comment"">
        <p>Revi"
0,PMC5687860," Simulations were implemented in R (<xref rid=""bib49"" ref-type=""bibr"">R Core Team, 2014</xref>) and code is available in the <xref ref-type=""supplementary-material"" rid=""scode1"">Source code file 1</xref>.</p>
      </"
0,PMC5703646,"cribed by&#xA0;<xref rid=""bib5"" ref-type=""bibr"">Cheng et al. (1993</xref>).</p>
          <p>Source code is available at <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/qhtian/CaClean"">https://github.com/"
0,PMC5705219,"cc.cgi?acc=GSE99407"">https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE99407</ext-link>. Source code is available in the Github repository <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/altemose/PRDM"
0,PMC5706958,"easure local background intensity within a surrounding 2.7 &#x3BC;m-diameter &#x2018;donut&#x2019;. Code is available at <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/chueschen/IntensityAtMinusEnd"">http"
0,PMC5762161,"mple sizes. This has typically been a task that requires expert statistical input, but increasingly code is available in R to make this much easier (<xref rid=""bib22"" ref-type=""bibr"">Green and MacLeod, 2016</xref>; <x"
0,PMC5764572,"code 1</xref>&#x2013;<xref ref-type=""supplementary-material"" rid=""scode3"">3</xref>). The simulation code is available as a supplementary material.</p>
      </sec>
    </sec>
  </body>
  <back>
    <sec sec-type=""fund"
0,PMC5770160,"equence alignments and pdb structural coordinate files used as input to BPPS and SIPRIS. The source code is available at sourceforge (<ext-link ext-link-type=""uri"" xlink:href=""http://sourceforge.net/p/bpps-sipris/code"
0,PMC5805410,"d bivariate analyses were run from a python script that used rpy2 to run R code from python. Source code is available on github (<ext-link ext-link-type=""uri"" xlink:href=""https://github.com/joan-smith/survival-analysi"
0,PMC5809147,"ype=""uri"" xlink:href=""https://SpotOn.berkeley.edu."">https://SpotOn.berkeley.edu.</ext-link> All raw code is available at GitLab: <ext-link ext-link-type=""uri"" xlink:href=""https://gitlab.com/tjian-darzacq-lab."">https:/"
0,PMC5854467,"link:href=""http://github.com"">http://github.com</ext-link>) was used for version control.&#xA0;This code is available in <xref ref-type=""supplementary-material"" rid=""scode1"">Source code 1</xref>.</p>
      </sec>
    "
0,PMC5976440," availability</title>
        <p>Links to all plasmid sequences are in manuscript and data analysis code is available on github.</p>
      </sec>
    </sec>
    <ref-list>
      <title>References</title>
      <ref id"
