,PMCID,sentence
0,PMC3904489,"tin2</italic>, um05302; <italic>ppi</italic>, um03726. For <italic>Z. mays</italic> genes, sequence data can be found at <ext-link ext-link-type=""uri"" xlink:href=""http://MaizeSequence.org"">MaizeSequence.org</ext-link>"
0,PMC3910079,"s of ChIP-Seq data</title>
        <p>Scripts, data files and workflows used to create the ChIP-Seq data can be found on the github repository: <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/AlastairKerr"
0,PMC4227046,"xt and tables are expressed as mean &#xB1; SD with the range and the number of observations. Source data can be found in the <xref ref-type=""supplementary-material"" rid=""SD1-data"">Supplementary file 1</xref>.</p>
    "
0,PMC4337611,"tors to ensure that they had their expected effect on the &#x3B2;-catenin signalling pathway; these data can be found in <xref ref-type=""fig"" rid=""fig2s1 fig2s2 fig2s3 fig2s4"">Figure 2&#x2014;figure supplements 1&#x20"
0,PMC4409649,"luded in the screen histogram shown in <xref ref-type=""fig"" rid=""fig1"">Figure 1A</xref>. The screen data can be found in <xref ref-type=""supplementary-material"" rid=""SD1-data"">Supplementary file 1</xref>.</p>
      </"
0,PMC4415119,"or all of the quantified graphs presented in <xref ref-type=""fig"" rid=""fig5"">Figure 5</xref>. These data can be found in <xref ref-type=""supplementary-material"" rid=""SD2-data"">Supplementary file 2A</xref> (TTP/3KO stu"
0,PMC4566076,"repeat these studies using whole-mount E16.5 and E17.5 cochleae and with a focus on the SGNs. These data can be found as <xref ref-type=""fig"" rid=""fig2s1"">Figure 2&#x2013;figure supplement 1</xref>. Overall, there wer"
0,PMC4718805,"ls, which are indicative of peptides which are removed or restricted by TAPBPR expression. This new data can be found <xref ref-type=""fig"" rid=""fig5"">Figure 5</xref> (sections E-H). Using this approach, we observed a "
1,PMC4718805,"d do indeed find an increase in the rate of decay of MHC class I in the absence of TAPBPR. This new data can be found in <xref ref-type=""fig"" rid=""fig8"">Figure 8</xref> (section E and F). As we observe a faster rate o"
0,PMC4755742,"opulations, calculated from data in D and F. Error bars, mean &#xB1; 1&#x3C3; confidence intervals. Data can be found in <xref ref-type=""supplementary-material"" rid=""SD2-data"">Supplementary file 1</xref>&#xA0;and&#xA0"
0,PMC4764557," and compared to the wall distance using the same methods as the calcium imaging. Analysis code and data can be found at <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/sofroniewn/tactile-coding"">https://"
0,PMC4775225,"sub> of less than 2.5 &#x3BC;M SGC-CBP30 (<xref ref-type=""fig"" rid=""fig2"">Figure 2A</xref>). Source data can be found in <xref ref-type=""supplementary-material"" rid=""SD3-data"">Figure 5&#x2014;source data 1</xref>. (<b"
