,PMCID,sentence
0,PMC4011162," the genome of <italic>T. urticae</italic> and does not represent bacterial contamination. Sequence data is available at Genbank (accession numbers: KF981736 and KF981737).<fig id=""fig3"" orientation=""portrait"" positio"
0,PMC4017647,e calculated by dividing the quantitative fragment count between tissue samples. Unprocessed 4C-seq data is available from the Gene Expression Omnibus (GEO) repository under accession number GSE55344. Random corrected
1,PMC4017647,"tsstation.epfl.ch</ext-link>; <xref rid=""bib6"" ref-type=""bibr"">David et al., 2014</xref>). ChIP-seq data is available from the Gene Expression Omnibus (GEO) repository under accession numbers GSE55344 and GSE31570.</p"
2,PMC4017647,"htsstation.epfl.ch</ext-link>; <xref rid=""bib6"" ref-type=""bibr"">David et al., 2014</xref>). RNA-seq data is available from the Gene Expression Omnibus (GEO) repository under accession numbers GSE55344. For RT-qPCR, cD"
0,PMC4074974,"     </sec>
      <sec id=""s4-15"">
        <title>Sequencing data</title>
        <p>All sequencing data is available in the NCBI GEO as SuperSeries GSE38275.</p>
      </sec>
    </sec>
  </body>
  <back>
    <sec se"
0,PMC4270077,"n about the project including its coordination, planning, execution, and ultimately the replication data is available publicly at the <ext-link ext-link-type=""uri"" xlink:href=""https://osf.io/e81xl/wiki/home/"">Open Sci"
0,PMC4381951,"        <p>Source code for the pipelines used to analyze RNA-Seq, ribosome profiling and
Bind-n-Seq data is available through the open-source library
<underline>rnaseqlib</underline> (available at the git repository: "
0,PMC4383097,"quency was calculated
as either 100 x #HDR reads/(#indel reads + #non-indel reads). Deep sequencing
data is available at the NCBI Sequence Read Archive (SRA, BioProject: 269153).</p>
      </sec>
    </sec>
  </body>
"
0,PMC4384636,"name, localization in wild-type egg-chambers and mRNA appearance upon microtubule depolymerization. Data is available publicly at the DOT, the Dresden Ovary Table (<ext-link ext-link-type=""uri"" xlink:href=""http://toma"
0,PMC4402597," of CFUs on tetrazolium plates, so how would growth rates be derived from that; especially, when no data is available as number of generations within the 24 hours growth (or growth phase, see above)?</p>
      <p>5) &"
1,PMC4402597," of CFUs on tetrazolium plates, so how would growth rates be derived from that; especially, when no data is available as number of generations within the 24 hours growth (or growth phase, see above)</italic>?</p>
    "
0,PMC4434323,"between ME and HK replicate PBMs). Colored boxes represent DBD classes for each TF. Average E-score data is available in <xref ref-type=""supplementary-material"" rid=""SD2-data"">Figure 3&#x2014;source data 1</xref>.</p>"
0,PMC4486817,"chondrial dynamics is an important future research direction to be addressed when more quantitative data is available.</p>
      <p>The experimental data used to parameterise the first part of our study was taken from"
0,PMC4502404,s using the table of reads mapped to known mouse genes (mm9) by the authors using TopHat 2.0.4 (the data is available in GEO as series GSE53074) and used the R package biomaRt to retrieve mouse and human homologous id
0,PMC4592948," and the number in the bottom right of the gate indicates the percentage of p24-positive cells. The data is available upon request.</p><p><bold>DOI:</bold>
<ext-link ext-link-type=""doi"" xlink:href=""10.7554/eLife.08150"
1,PMC4592948,"lots are shown in <xref ref-type=""fig"" rid=""fig2s3"">Figure 2&#x2014;figure supplement 3</xref>. The data is available upon request. The remaining cell culture was centrifuged and then resuspended with 3 ml of fresh cu"
0,PMC4595745,"nd 25% mapped to abundant sequences such as ribosomal RNA, mitochondrial or phiX sequences. RNA-Seq data is available at Gene Expression Omnibus (GEO) (accession number GSE68177).</p>
      </sec>
      <sec id=""s4-4"""
1,PMC4595745,"</p>
      </sec>
      <sec id=""s4-25"">
        <title>Accession number</title>
        <p>RNA-Seq data is available at GEO, accession number GSE68177.</p>
      </sec>
    </sec>
  </body>
  <back>
    <sec sec-type"
0,PMC4608356," MCM's design, any numerical model parameter can in principle be calibrated, provided that suitable data is available. That includes stoichiometric coefficients, uptake kinetics, extracellular transport coefficients ("
0,PMC4629441,"lso be presented together (e.g. rat data for electrophysiological is presumably simply because more data is available?), and whether people agree or not about different details would be a moot point, as it would be cl"
1,PMC4629441,"lso be presented together (e.g. rat data for electrophysiological is presumably simply because more data is available?), and whether people agree or not about different details would be a moot point, as it would be cl"
0,PMC4631838,"he architecture of the tail module, which is a flexible structure and for which no crystallographic data is available. The predicted structure resolution of the head and middle modules is rather low, compared to those"
1,PMC4631838,"he architecture of the tail module, which is a flexible structure and for which no crystallographic data is available. The predicted structure resolution of the head and middle modules is rather low, compared to those"
0,PMC4718725,"ation provided by the same package. We used the normalized count data for downstream analysis. This data is available in the Gene Expression Omnibus database (<ext-link ext-link-type=""uri"" xlink:href=""http://www.ncbi."
0,PMC4718817,"nce. Trajectory that reach high frequencies are shown with thicker and more opaque lines. Analogous data is available for all patients for most of the HIV-1 genome. EDI, estimated date of infection; SNP, single nucleo"
0,PMC4728133,"mentary files 1</xref> and <xref ref-type=""supplementary-material"" rid=""SD2-data"">2</xref> and full data is available on the GEO site with accession numbers listed in the Methods section.</p>
      <p>Reviewer #2:</p>"
0,PMC4731332,"e (FN869859) using default settings (mismatch cost set to 4). The <italic>T. tenax</italic> RNA-Seq data is available at Gene Expression Omnibus (GSE72127, [<ext-link ext-link-type=""uri"" xlink:href=""http://www.ncbi.nl"
0,PMC4805540,us on the role of the different MTL areas in the retrieval of very remote memories for which little data is available: all studies published for this time point have been cited in the Introduction of the original manu
