,PMCID,sentence
0,PMC3909918,"ails on implementing these models can be found at <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/trvrb/flux/tree/master/example-xmls"">https://github.com/trvrb/flux/tree/master/example-xmls</ex"
1,PMC3909918,"ink ext-link-type=""uri"" xlink:href=""https://github.com/trvrb/flux/tree/master/example-xmls"">https://github.com/trvrb/flux/tree/master/example-xmls</ext-link>. Incidence data and HI data used in this analysi"
0,PMC3910079,">
        <p>Scripts, data files and workflows used to create the ChIP-Seq data can be found on the github repository: <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/AlastairKerr/Marston2013"">"
1,PMC3910079,"P-Seq data can be found on the github repository: <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/AlastairKerr/Marston2013"">https://github.com/AlastairKerr/Marston2013</ext-link>. Single reads "
2,PMC3910079,"ory: <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/AlastairKerr/Marston2013"">https://github.com/AlastairKerr/Marston2013</ext-link>. Single reads were mapped using BWA (Version: 0.6.1-r104) ("
0,PMC3912938,"laborations.</p>
      <p>The code we used to generate the pairs for this paper is available on the github repository: <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/FedericoV/conference_pairi"
1,PMC3912938,"this paper is available on the github repository: <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/FedericoV/conference_pairings"">https://github.com/FedericoV/conference_pairings</ext-link>. Whe"
2,PMC3912938,"<ext-link ext-link-type=""uri"" xlink:href=""https://github.com/FedericoV/conference_pairings"">https://github.com/FedericoV/conference_pairings</ext-link>. When using our approach for very large conferences, i"
0,PMC3927426,"ode used to conduct intracellular recording in freely behaving birds. All the codes are uploaded in GitHub (<ext-link ext-link-type=""uri"" xlink:href=""https://github.com/hamaguchikosuke/RealSong_control"">htt"
1,PMC3927426,"ving birds. All the codes are uploaded in GitHub (<ext-link ext-link-type=""uri"" xlink:href=""https://github.com/hamaguchikosuke/RealSong_control"">https://github.com/hamaguchikosuke/RealSong_control</ext-link"
2,PMC3927426,"t-link ext-link-type=""uri"" xlink:href=""https://github.com/hamaguchikosuke/RealSong_control"">https://github.com/hamaguchikosuke/RealSong_control</ext-link>).</p>
      </sec>
    </sec>
  </body>
  <back>
  "
