,PMCID,sentence
0,PMC4755742,"Supplementary file 1</xref>&#xA0;and&#xA0;<ext-link ext-link-type=""uri"" xlink:href=""http://nbviewer.jupyter.org/gist/fabianrost84/3cc58a27b5688f4e2eba"">http://nbviewer.jupyter.org/gist/fabianrost84/3cc58a27b"
1,PMC4755742,"ri"" xlink:href=""http://nbviewer.jupyter.org/gist/fabianrost84/3cc58a27b5688f4e2eba"">http://nbviewer.jupyter.org/gist/fabianrost84/3cc58a27b5688f4e2eba</ext-link>. (<bold><bold>H</bold></bold>) EdU was inject"
2,PMC4755742,"and cell cycle parameters is available at <ext-link ext-link-type=""uri"" xlink:href=""http://nbviewer.jupyter.org/gist/fabianrost84/3cc58a27b5688f4e2eba"">http://nbviewer.jupyter.org/gist/fabianrost84/3cc58a27b"
3,PMC4755742,"ri"" xlink:href=""http://nbviewer.jupyter.org/gist/fabianrost84/3cc58a27b5688f4e2eba"">http://nbviewer.jupyter.org/gist/fabianrost84/3cc58a27b5688f4e2eba</ext-link>.</p><p><bold>DOI:</bold>
<ext-link ext-link-t"
4,PMC4755742,"ately equal for all cell populations (see <ext-link ext-link-type=""uri"" xlink:href=""http://nbviewer.jupyter.org/gist/fabianrost84/3cc58a27b5688f4e2eba"">http://nbviewer.jupyter.org/gist/fabianrost84/3cc58a27b"
5,PMC4755742,"ri"" xlink:href=""http://nbviewer.jupyter.org/gist/fabianrost84/3cc58a27b5688f4e2eba"">http://nbviewer.jupyter.org/gist/fabianrost84/3cc58a27b5688f4e2eba</ext-link>), the number of proliferating cells in a sect"
6,PMC4755742,"data and the calculations can be found in <ext-link ext-link-type=""uri"" xlink:href=""http://nbviewer.jupyter.org/gist/fabianrost84/3cc58a27b5688f4e2eba"">http://nbviewer.jupyter.org/gist/fabianrost84/3cc58a27b"
7,PMC4755742,"ri"" xlink:href=""http://nbviewer.jupyter.org/gist/fabianrost84/3cc58a27b5688f4e2eba"">http://nbviewer.jupyter.org/gist/fabianrost84/3cc58a27b5688f4e2eba</ext-link>.</p>
      </sec>
      <sec id=""s4-9"">
     "
8,PMC4755742," the parameter estimation can be found in <ext-link ext-link-type=""uri"" xlink:href=""http://nbviewer.jupyter.org/gist/fabianrost84/3cc58a27b5688f4e2eba"">http://nbviewer.jupyter.org/gist/fabianrost84/3cc58a27b"
9,PMC4755742,"ri"" xlink:href=""http://nbviewer.jupyter.org/gist/fabianrost84/3cc58a27b5688f4e2eba"">http://nbviewer.jupyter.org/gist/fabianrost84/3cc58a27b5688f4e2eba</ext-link>.</p>
        <p>Because all mitotic cells wer"
10,PMC4755742,"/italic> by linear error propagation (see <ext-link ext-link-type=""uri"" xlink:href=""http://nbviewer.jupyter.org/gist/fabianrost84/3cc58a27b5688f4e2eba"">http://nbviewer.jupyter.org/gist/fabianrost84/3cc58a27b"
11,PMC4755742,"ri"" xlink:href=""http://nbviewer.jupyter.org/gist/fabianrost84/3cc58a27b5688f4e2eba"">http://nbviewer.jupyter.org/gist/fabianrost84/3cc58a27b5688f4e2eba</ext-link>).</p>
      </sec>
      <sec id=""s4-12"">
   "
0,PMC4841782,"/2/, including both neural data and behavioral regressors. And an example analysis in the form of a Jupyter notebook are included as Supplementary Files (spontaneous-turning.html, spontaneous-turning.ipynb);"
