,PMCID,sentence
0,PMC4596689,"rated:</p>
        <p>
          <related-object content-type=""generated-dataset"" source-id=""http://neurovault.org/collections/860/"" source-id-type=""uri"" id=""dataro1""><collab collab-type=""author"">Zeighami Y</co"
1,PMC4596689,"on's Disease</source><x xml:space=""preserve"">, </x><ext-link ext-link-type=""uri"" xlink:href=""http://neurovault.org/collections/860/"">http://neurovault.org/collections/860/</ext-link><x xml:space=""preserve"">, </"
2,PMC4596689,"rve"">, </x><ext-link ext-link-type=""uri"" xlink:href=""http://neurovault.org/collections/860/"">http://neurovault.org/collections/860/</ext-link><x xml:space=""preserve"">, </x><comment>Publicly available at NeuroVa"
3,PMC4596689,"rovault.org/collections/860/</ext-link><x xml:space=""preserve"">, </x><comment>Publicly available at NeuroVault (collection 860).</comment></related-object>
        </p>
        <p>The following previously publi"
0,PMC5606848,"ing maps from our study are available at&#xA0;<ext-link ext-link-type=""uri"" xlink:href=""https://www.neurovault.org/collections/2860/"">https://www.neurovault.org/collections/2860/.</ext-link></p>
      </sec>
  "
1,PMC5606848,"<ext-link ext-link-type=""uri"" xlink:href=""https://www.neurovault.org/collections/2860/"">https://www.neurovault.org/collections/2860/.</ext-link></p>
      </sec>
    </sec>
  </body>
  <back>
    <sec sec-type="
2,PMC5606848,"<p>
          <related-object content-type=""generated-dataset"" id=""dataset2"" source-id=""https://www.neurovault.org/collections/2860/"" source-id-type=""uri"">
            <collab collab-type=""author"">Yu Zhang</col"
3,PMC5606848,"igra and its connections</source>
            <ext-link ext-link-type=""uri"" xlink:href=""https://www.neurovault.org/collections/2860/"">https://www.neurovault.org/collections/2860/</ext-link>
            <comment"
4,PMC5606848,"<ext-link ext-link-type=""uri"" xlink:href=""https://www.neurovault.org/collections/2860/"">https://www.neurovault.org/collections/2860/</ext-link>
            <comment>Publicly available at neurovault</comment>
  "
5,PMC5606848,">https://www.neurovault.org/collections/2860/</ext-link>
            <comment>Publicly available at neurovault</comment>
          </related-object>
        </p>
        <p>The following previously published da"
