,PMCID,Journal Title,Year,data_shared,code_relevant,preprint,data_upon_request,code_shared,code_upon_request,preregistration,OSF_exploratory
0,PMC1323498,PLoS Med,2006,0,0,0,0,0,0,0,0
1,PMC1323499,PLoS Med,2006,0,0,1,0,0,0,0,0
2,PMC1323501,PLoS Med,2006,0,0,0,0,0,0,0,0
3,PMC1324792,PLoS Med,2006,0,0,0,0,0,0,0,0
4,PMC1324794,PLoS Biol,2006,0,0,0,0,0,0,0,0
5,PMC1324949,PLoS Med,2006,0,0,0,0,0,0,0,0
6,PMC1324950,PLoS Med,2006,0,0,0,0,0,0,0,0
7,PMC1324951,PLoS Med,2006,0,0,0,0,0,0,0,0
8,PMC1325099,PLoS Biol,2006,0,0,0,0,0,0,0,0
9,PMC1325264,PLoS Med,2006,0,0,0,0,0,0,0,0
10,PMC1325265,PLoS Med,2006,0,0,0,0,0,0,0,0
11,PMC1325475,PLoS Med,2006,1,0,0,0,0,0,0,0
12,PMC1326218,PLoS Pathog,2006,0,0,0,0,0,0,0,0
13,PMC1326219,PLoS Genet,2006,0,0,0,0,1,0,0,0
14,PMC1326220,PLoS Genet,2006,1,0,0,0,0,0,0,0
15,PMC1326221,PLoS Genet,2006,0,0,1,0,0,0,0,0
16,PMC1326222,PLoS Comput Biol,2006,0,0,1,0,0,0,0,0
17,PMC1326223,PLoS Comput Biol,2006,0,0,0,0,0,0,0,0
18,PMC1326234,PLoS Biol,2006,0,0,0,0,0,0,0,0
19,PMC1326256,PLoS Med,2006,0,0,0,0,0,0,0,0
20,PMC1326257,PLoS Med,2006,0,0,0,0,0,0,0,0
21,PMC1326258,PLoS Med,2006,0,0,0,0,0,0,0,0
22,PMC1326259,PLoS Med,2006,0,0,0,0,0,0,0,0
23,PMC1326260,PLoS Med,2006,0,0,0,0,0,0,0,0
24,PMC1326261,PLoS Med,2006,0,0,0,0,0,0,0,0
25,PMC1326262,PLoS Med,2006,0,0,0,0,0,0,0,0
26,PMC1326263,PLoS Med,2006,0,0,0,0,0,0,0,0
27,PMC1326282,PLoS Biol,2006,0,0,0,0,0,0,0,0
28,PMC1326283,PLoS Biol,2006,0,0,0,0,0,0,0,0
29,PMC1326284,PLoS Biol,2006,0,0,0,0,0,0,0,0
30,PMC1331977,PLoS Genet,2006,1,0,1,0,0,0,0,0
31,PMC1331978,PLoS Genet,2006,0,0,0,0,0,0,0,0
32,PMC1331979,PLoS Genet,2006,1,0,0,0,0,0,0,0
33,PMC1331980,PLoS Genet,2006,1,0,0,0,0,0,0,0
34,PMC1331981,PLoS Pathog,2006,0,0,0,0,0,0,0,0
35,PMC1331982,PLoS Comput Biol,2006,0,0,1,0,0,0,0,0
36,PMC1334189,BMC Psychiatry,2006,0,1,0,0,0,0,0,0
37,PMC1334195,Biomed Eng Online,2006,0,1,0,0,0,0,0,0
38,PMC1334198,PLoS Biol,2006,1,0,0,0,0,0,0,0
39,PMC1334199,PLoS Biol,2006,0,0,0,0,0,0,0,0
40,PMC1334214,Ann Clin Microbiol Antimicrob,2006,0,0,0,0,0,0,0,0
41,PMC1334221,PLoS Med,2006,0,0,0,0,0,0,0,0
42,PMC1334223,PLoS Med,2006,0,0,0,0,0,0,0,0
43,PMC1334224,PLoS Med,2006,0,0,0,0,0,0,0,0
44,PMC1334225,PLoS Med,2006,0,0,0,0,0,0,0,0
45,PMC1334226,PLoS Med,2006,1,0,0,0,0,0,0,0
46,PMC1334237,PLoS Biol,2006,0,0,0,0,0,0,0,0
47,PMC1334241,PLoS Biol,2006,0,0,0,0,0,0,0,0
48,PMC1334386,PLoS Biol,2006,0,0,0,0,0,0,0,0
49,PMC1334387,PLoS Biol,2006,1,1,0,0,0,0,0,0
50,PMC1343552,BMC Biotechnol,2006,0,0,1,0,0,0,0,0
51,PMC1351155,PLoS Med,2006,0,0,0,0,0,0,0,0
52,PMC1351156,PLoS Med,2006,0,0,0,0,0,0,0,0
53,PMC1351175,BMC Cell Biol,2006,0,0,0,0,0,0,0,0
54,PMC1351195,BMC Neurosci,2006,0,0,0,0,0,0,0,0
55,PMC1351203,BMC Bioinformatics,2006,0,1,0,0,1,0,0,0
56,PMC1351204,BMC Neurol,2006,0,0,0,0,0,0,0,0
57,PMC1351258,BMC Bioinformatics,2006,0,0,0,0,0,0,0,0
