,PMCID,Journal Title,Year,data_shared,code_relevant,preprint,data_upon_request,code_shared,code_upon_request,preregistration,OSF_exploratory
0,PMC1761698,Biol Psychiatry,2006,0,0,0,0,0,0,0,0
1,PMC1853245,Biol Psychiatry,2006,0,0,0,0,0,0,0,0
2,PMC1853327,Biol Psychiatry,2006,0,0,0,0,0,0,0,0
3,PMC1853347,Biol Psychiatry,2006,0,0,0,0,0,0,0,0
4,PMC1892232,Biol Psychiatry,2006,0,0,0,0,0,0,0,0
5,PMC1894656,Biol Psychiatry,2006,0,0,0,0,0,0,0,0
6,PMC1950959,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
7,PMC1952242,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
8,PMC1964505,Biol Psychiatry,2006,0,0,0,0,0,0,0,0
9,PMC1978220,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
10,PMC1992815,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
11,PMC2001237,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
12,PMC2001244,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
13,PMC2001259,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
14,PMC2002507,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
15,PMC2018681,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
16,PMC2030628,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
17,PMC2040499,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
18,PMC2041824,Biol Psychiatry,2006,0,0,0,0,0,0,0,0
19,PMC2044500,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
20,PMC2063511,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
21,PMC2080683,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
22,PMC2083701,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
23,PMC2093988,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
24,PMC2094109,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
25,PMC2111055,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
26,PMC2128773,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
27,PMC2129091,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
28,PMC2129095,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
29,PMC2129130,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
30,PMC2131715,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
31,PMC2144909,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
32,PMC2149847,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
33,PMC2170875,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
34,PMC2173697,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
35,PMC2174622,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
36,PMC2185547,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
37,PMC2190621,Biol Psychiatry,2006,0,0,0,0,0,0,0,0
38,PMC2190626,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
39,PMC2194758,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
40,PMC2204086,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
41,PMC2222890,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
42,PMC2249755,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
43,PMC2265665,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
44,PMC2268016,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
45,PMC2268639,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
46,PMC2268763,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
47,PMC2268873,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
48,PMC2277331,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
49,PMC2277469,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
50,PMC2288705,Biol Psychiatry,2006,0,0,0,0,0,0,0,0
51,PMC2290738,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
52,PMC2330266,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
53,PMC2330275,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
54,PMC2335305,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
55,PMC2350188,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
56,PMC2352150,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
57,PMC2362385,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
58,PMC2366792,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
59,PMC2367228,Biol Psychiatry,2006,0,0,0,0,0,0,0,0
60,PMC2373542,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
61,PMC2385784,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
62,PMC2386268,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
63,PMC2386415,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
64,PMC2386897,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
65,PMC2390785,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
66,PMC2405894,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
67,PMC2424282,Biol Psychiatry,2006,0,0,0,0,0,0,0,0
68,PMC2435230,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
69,PMC2435292,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
70,PMC2440346,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
71,PMC2441648,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
72,PMC2441863,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
73,PMC2442273,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
74,PMC2453243,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
75,PMC2464620,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
76,PMC2474758,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
77,PMC2483430,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
78,PMC2483789,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
79,PMC2486271,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
80,PMC2486411,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
81,PMC2526976,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
82,PMC2529153,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
83,PMC2546515,Biol Psychiatry,2006,0,0,0,0,0,0,0,0
84,PMC2547406,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
85,PMC2556990,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
86,PMC2559463,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
87,PMC2562039,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
88,PMC2562462,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
89,PMC2562619,Biol Psychiatry,2006,0,0,0,0,0,0,0,0
90,PMC2567868,Biol Psychiatry,2006,0,0,0,0,0,0,0,0
91,PMC2568813,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
92,PMC2572710,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
93,PMC2574992,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
94,PMC2577132,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
95,PMC2577764,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
96,PMC2579257,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
97,PMC2579765,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
98,PMC2580057,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
99,PMC2580803,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
100,PMC2581622,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
101,PMC2582592,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
102,PMC2582594,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
103,PMC2586327,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
104,PMC2586998,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
105,PMC2587157,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
106,PMC2587308,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
107,PMC2587316,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
108,PMC2592606,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
109,PMC2592608,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
110,PMC2596958,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
111,PMC2597158,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
112,PMC2597204,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
113,PMC2597354,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
114,PMC2597663,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
115,PMC2597784,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
116,PMC2599927,Biol Psychiatry,2007,0,0,0,0,0,0,0,0
117,PMC2601637,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
118,PMC2602857,Biol Psychiatry,2009,0,0,0,0,0,0,0,0
119,PMC2603602,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
120,PMC2607139,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
121,PMC2610843,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
122,PMC2613513,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
123,PMC2613777,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
124,PMC2615779,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
125,PMC2621104,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
126,PMC2621309,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
127,PMC2629074,Biol Psychiatry,2008,0,0,0,0,0,0,0,0
