,PMCID,Journal Title,Year,data_shared,code_relevant,preprint,data_upon_request,code_shared,code_upon_request,preregistration,OSF_exploratory
0,PMC2574766,Nature,2008,1,0,0,0,0,0,0,0
1,PMC2581791,Nature,2008,1,0,0,0,0,0,0,0
2,PMC2585603,Nature,2008,0,0,0,0,0,0,0,0
3,PMC2587061,Nature,2008,0,0,0,0,0,0,0,0
4,PMC2587486,Nature,2008,0,0,0,0,0,0,0,0
5,PMC2588643,Nature,2008,0,0,0,0,0,0,0,0
6,PMC2593745,Nature,2008,1,0,0,0,0,0,0,0
7,PMC2596276,Nature,2008,0,0,0,0,0,0,0,0
8,PMC2596277,Nature,2008,0,0,0,0,0,0,0,0
9,PMC2597110,Nature,2008,0,0,0,0,0,0,0,0
10,PMC2597294,Nature,2008,0,0,0,0,0,0,0,0
11,PMC2597380,Nature,2008,0,0,0,0,0,0,0,0
12,PMC2597643,Nature,2008,0,0,0,0,0,0,0,0
13,PMC2597669,Nature,2008,0,0,0,0,0,0,0,0
14,PMC2597674,Nature,2008,1,0,0,0,0,0,0,0
15,PMC2603574,Nature,2008,1,0,0,0,0,0,0,0
16,PMC2605185,Nature,2008,0,0,0,0,0,0,0,0
17,PMC2605188,Nature,2008,0,0,0,0,0,0,0,0
18,PMC2605577,Nature,2008,0,0,0,0,0,0,0,0
19,PMC2605662,Nature,2008,1,0,0,0,0,0,0,0
20,PMC2610860,Nature,2008,0,0,0,0,0,0,0,0
21,PMC2614452,Nature,2008,0,0,0,0,0,0,0,0
22,PMC2614697,Nature,2009,0,0,0,0,0,0,0,0
23,PMC2629804,Nature,2008,1,0,0,0,0,0,0,0
24,PMC2633030,Nature,2008,0,0,0,0,0,0,0,0
25,PMC2635562,Nature,2008,0,0,0,0,0,0,0,0
26,PMC2642523,Nature,2008,0,0,0,0,0,0,0,0
27,PMC2644578,Nature,2008,0,1,0,0,0,0,0,0
28,PMC2646463,Nature,2008,0,0,0,0,0,0,0,0
29,PMC2648141,Nature,2008,0,0,0,0,0,0,0,0
30,PMC2648862,Nature,2008,0,0,0,0,0,0,0,0
31,PMC2649681,Nature,2009,0,0,0,0,0,0,0,0
32,PMC2651989,Nature,2008,0,1,0,0,0,0,0,0
33,PMC2652134,Nature,2008,0,0,0,0,0,0,0,0
34,PMC2659681,Nature,2009,0,0,0,0,0,0,0,0
35,PMC2661027,Nature,2008,1,1,0,0,0,0,0,0
36,PMC2661029,Nature,2008,0,0,0,0,0,0,0,0
37,PMC2661201,Nature,2009,0,0,0,0,0,0,0,0
38,PMC2666261,Nature,2009,0,0,0,0,0,0,0,0
39,PMC2667910,Nature,2009,0,0,0,0,0,0,0,0
40,PMC2670278,Nature,2009,0,0,0,0,0,0,0,0
41,PMC2671489,Nature,2009,0,0,0,0,0,0,0,0
42,PMC2671564,Nature,2009,0,0,0,0,0,0,0,0
43,PMC2671642,Nature,2008,0,0,0,0,0,0,0,0
44,PMC2673513,Nature,2009,0,0,0,0,0,0,0,0
45,PMC2674434,Nature,2009,0,0,0,0,0,0,0,0
46,PMC2676211,Nature,2009,0,0,0,0,0,0,0,0
47,PMC2677729,Nature,2008,1,0,0,0,1,0,0,0
48,PMC2677908,Nature,2008,1,0,0,0,0,0,0,0
49,PMC2679680,Nature,2008,0,0,0,0,0,0,0,0
50,PMC2679702,Nature,2008,0,0,0,0,0,0,0,0
51,PMC2679808,Nature,2009,0,0,0,0,0,0,0,0
52,PMC2679968,Nature,2009,0,0,0,0,0,0,0,0
53,PMC2679980,Nature,2009,0,1,0,0,0,0,0,0
54,PMC2685892,Nature,2009,1,0,0,0,0,0,0,0
55,PMC2687078,Nature,2008,0,0,0,0,0,0,0,0
56,PMC2688456,Nature,2009,0,0,0,0,0,0,0,0
57,PMC2688462,Nature,2009,0,0,0,0,0,0,0,0
58,PMC2688717,Nature,2009,0,0,0,0,0,0,0,0
59,PMC2688732,Nature,2008,0,0,0,0,0,0,0,0
60,PMC2689940,Nature,2009,0,0,0,0,0,0,0,0
61,PMC2692085,Nature,2009,0,0,0,0,0,0,0,0
62,PMC2692521,Nature,2009,0,0,0,0,0,0,0,0
63,PMC2693086,Nature,2009,0,1,0,0,0,0,0,0
64,PMC2696133,Nature,2008,0,0,0,0,0,0,0,0
65,PMC2697266,Nature,2009,0,0,0,0,0,0,0,0
66,PMC2699350,Nature,2009,0,0,0,0,0,0,0,0
67,PMC2700034,Nature,2009,0,1,0,0,0,0,0,0
68,PMC2702157,Nature,2009,0,0,0,0,0,0,0,0
69,PMC2702264,Nature,2008,0,0,0,0,0,0,0,0
70,PMC2702439,Nature,2009,0,0,0,0,0,0,0,0
71,PMC2702691,Nature,2009,0,0,0,0,0,0,0,0
72,PMC2705195,Nature,2009,0,1,0,0,0,0,0,0
73,PMC2709809,Nature,2009,0,0,0,0,0,0,0,0
74,PMC2710807,Nature,2009,0,0,0,0,0,0,0,0
75,PMC2711440,Nature,2009,0,0,0,0,0,0,0,0
76,PMC2711994,Nature,2009,0,0,0,0,0,0,0,0
77,PMC2712122,Nature,2009,0,0,0,0,0,0,0,0
78,PMC2712348,Nature,2009,0,0,0,0,0,0,0,0
79,PMC2713029,Nature,2008,1,0,0,0,0,0,0,0
80,PMC2713033,Nature,2008,0,0,0,0,0,0,0,0
81,PMC2713604,Nature,2009,1,0,0,0,0,0,0,0
82,PMC2714547,Nature,2009,0,0,0,0,0,0,0,0
83,PMC2716014,Nature,2009,1,0,0,0,0,0,0,0
84,PMC2716045,Nature,2009,0,0,0,0,0,0,0,0
85,PMC2716064,Nature,2009,0,1,0,0,0,0,0,0
86,PMC2716090,Nature,2009,0,0,0,0,0,0,0,0
87,PMC2716709,Nature,2008,0,0,0,0,1,0,0,0
88,PMC2719773,Nature,2009,0,1,0,0,0,0,0,0
89,PMC2720809,Nature,2009,0,0,0,0,0,0,0,0
90,PMC2721793,Nature,2009,0,0,0,0,0,0,0,0
91,PMC2722223,Nature,2009,0,0,1,0,0,0,0,0
92,PMC2722381,Nature,2009,0,0,0,0,0,0,0,0
93,PMC2723166,Nature,2008,0,1,0,0,0,0,0,0
94,PMC2723184,Nature,2009,0,0,0,0,0,0,0,0
95,PMC2724004,Nature,2009,0,0,0,0,0,0,0,0
96,PMC2724670,Nature,2009,1,0,0,0,0,0,0,0
97,PMC2725363,Nature,2009,0,0,0,0,0,0,0,0
98,PMC2725402,Nature,2009,1,0,0,0,0,0,0,0
99,PMC2726264,Nature,2009,0,0,1,0,0,0,0,0
100,PMC2727592,Nature,2009,0,0,0,0,0,0,0,0
101,PMC2727717,Nature,2009,0,0,0,0,0,0,0,0
102,PMC2727746,Nature,2009,0,1,0,0,0,0,0,0
103,PMC2728356,Nature,2009,0,0,0,0,0,0,0,0
104,PMC2729443,Nature,2009,0,0,0,0,0,0,0,0
105,PMC2729657,Nature,2009,1,0,0,0,0,0,0,0
106,PMC2729916,Nature,2009,1,0,0,0,0,0,0,0
107,PMC2730915,Nature,2009,0,0,0,0,0,0,0,0
108,PMC2730924,Nature,2009,0,0,0,0,0,0,0,0
109,PMC2733940,Nature,2009,0,0,0,0,0,0,0,0
110,PMC2735344,Nature,2009,0,0,0,0,0,0,0,0
111,PMC2735889,Nature,2009,0,0,0,0,0,0,0,0
112,PMC2737592,Nature,2009,0,0,0,0,0,0,0,0
113,PMC2737600,Nature,2009,0,0,0,0,0,0,0,0
114,PMC2739979,Nature,2009,0,0,0,0,0,0,0,0
115,PMC2742159,Nature,2008,0,0,0,0,0,0,0,0
116,PMC2743290,Nature,2009,0,0,0,0,0,0,0,0
117,PMC2743854,Nature,2009,1,0,0,0,1,0,0,0
118,PMC2744041,Nature,2009,0,0,0,0,0,0,0,0
119,PMC2744466,Nature,2008,0,0,0,0,0,0,0,0
120,PMC2744588,Nature,2009,0,0,0,0,0,0,0,0
121,PMC2745212,Nature,2009,0,0,0,0,0,0,0,0
122,PMC2745705,Nature,2009,0,0,0,0,0,0,0,0
123,PMC2746258,Nature,2009,1,1,0,0,0,0,0,0
124,PMC2746695,Nature,2009,0,1,0,0,0,0,0,0
125,PMC2747300,Nature,2009,0,0,0,0,0,0,0,0
126,PMC2748673,Nature,2009,0,0,0,0,0,0,0,0
127,PMC2748827,Nature,2009,0,0,0,0,0,0,0,0
128,PMC2748841,Nature,2009,0,0,0,0,0,0,0,0
129,PMC2752739,Nature,2009,0,1,0,0,0,0,0,0
130,PMC2753387,Nature,2008,1,0,0,0,0,0,0,0
131,PMC2753613,Nature,2009,0,0,0,0,0,0,0,0
132,PMC2753965,Nature,2009,0,0,0,0,0,0,0,0
133,PMC2754729,Nature,2009,0,0,0,0,0,0,0,0
134,PMC2754867,Nature,2009,1,0,0,0,0,0,0,0
135,PMC2755041,Nature,2009,0,1,0,0,0,0,0,0
136,PMC2755585,Nature,2009,0,0,0,0,0,0,0,0
137,PMC2755635,Nature,2009,0,0,0,0,0,0,0,0
138,PMC2756102,Nature,2008,0,0,0,0,0,0,0,0
139,PMC2756445,Nature,2009,1,0,0,0,0,0,0,0
140,PMC2756583,Nature,2009,0,0,0,0,0,0,0,0
141,PMC2758571,Nature,2009,0,1,0,0,0,0,0,0
142,PMC2759699,Nature,2009,0,0,0,0,0,0,0,0
143,PMC2760383,Nature,2009,0,0,0,0,0,0,0,0
144,PMC2760495,Nature,2009,0,0,0,0,0,0,0,0
145,PMC2761017,Nature,2009,0,0,0,0,0,0,0,0
146,PMC2761823,Nature,2009,1,0,0,0,0,0,0,0
147,PMC2762424,Nature,2009,0,0,0,0,0,0,0,0
148,PMC2762480,Nature,2009,0,0,0,0,0,0,0,0
149,PMC2764300,Nature,2009,0,0,0,0,0,0,0,0
150,PMC2764320,Nature,2009,0,0,0,0,0,0,0,0
151,PMC2766670,Nature,2009,0,0,0,0,0,0,0,0
152,PMC2767301,Nature,2009,1,0,0,0,0,0,0,0
153,PMC2768332,Nature,2009,0,0,0,0,0,0,0,0
154,PMC2768538,Nature,2008,0,1,0,0,0,0,0,0
155,PMC2768540,Nature,2009,0,0,0,0,0,0,0,0
156,PMC2769203,Nature,2009,0,0,0,0,0,0,0,0
157,PMC2769991,Nature,2009,0,1,0,0,0,0,0,0
158,PMC2770190,Nature,2009,0,1,0,0,0,0,0,0
159,PMC2771326,Nature,2009,0,0,0,0,0,0,0,0
160,PMC2771344,Nature,2009,0,0,0,0,0,0,0,0
161,PMC2771429,Nature,2009,0,1,0,0,1,0,0,0
162,PMC2772655,Nature,2009,0,1,0,0,0,0,0,0
163,PMC2774772,Nature,2009,0,0,0,0,0,0,0,0
164,PMC2774924,Nature,2009,0,0,0,0,0,0,0,0
165,PMC2775422,Nature,2009,0,1,0,0,0,0,0,0
166,PMC2775488,Nature,2008,0,0,0,0,0,0,0,0
167,PMC2776091,Nature,2009,0,0,0,0,0,0,0,0
168,PMC2777716,Nature,2009,0,0,0,0,0,0,0,0
169,PMC2778075,Nature,2009,1,0,0,0,0,0,0,0
170,PMC2778849,Nature,2009,0,0,0,0,0,0,0,0
171,PMC2779525,Nature,2009,0,0,0,0,0,0,0,0
172,PMC2780427,Nature,2009,0,0,0,0,0,0,0,0
173,PMC2782680,Nature,2009,0,0,0,0,0,0,0,0
174,PMC2782927,Nature,2009,0,1,0,0,0,0,0,0
175,PMC2783335,Nature,2009,1,0,0,0,0,0,0,0
176,PMC2783639,Nature,2009,0,0,0,0,0,0,0,0
177,PMC2784146,Nature,2009,0,0,0,0,0,0,0,0
178,PMC2784695,Nature,2009,0,0,0,0,0,0,0,0
179,PMC2784928,Nature,2009,0,0,0,0,0,0,0,0
180,PMC2785041,Nature,2009,0,0,0,0,0,0,0,0
181,PMC2785124,Nature,2009,0,0,0,0,0,0,0,0
182,PMC2785216,Nature,2009,0,0,0,0,0,0,0,0
183,PMC2785502,Nature,2009,0,0,0,0,0,0,0,0
184,PMC2785853,Nature,2009,0,0,0,0,0,0,0,0
185,PMC2786175,Nature,2009,0,0,0,0,0,0,0,0
186,PMC2789415,Nature,2009,0,0,0,0,0,0,0,0
187,PMC2789972,Nature,2009,0,1,0,0,0,0,0,0
188,PMC2791906,Nature,2009,0,1,0,0,0,0,0,0
189,PMC2793086,Nature,2009,0,0,0,0,0,0,0,0
190,PMC2794210,Nature,2008,0,0,0,0,0,0,0,0
191,PMC2796206,Nature,2009,0,0,0,0,0,0,0,0
192,PMC2797367,Nature,2009,0,1,0,0,0,0,0,0
193,PMC2797999,Nature,2009,0,0,0,0,0,0,0,0
194,PMC2798000,Nature,2009,0,0,0,0,0,0,0,0
195,PMC2798118,Nature,2008,0,0,0,0,0,0,0,0
196,PMC2799227,Nature,2009,0,0,0,0,0,0,0,0
197,PMC2800362,Nature,2009,0,0,0,0,0,0,0,0
198,PMC2802177,Nature,2009,0,0,0,0,0,0,0,0
199,PMC2803041,Nature,2009,0,0,0,0,0,0,0,0
200,PMC2803098,Nature,2009,0,1,0,0,0,0,0,0
201,PMC2804933,Nature,2008,0,0,0,0,0,0,0,0
202,PMC2805463,Nature,2010,0,1,0,0,0,0,0,0
203,PMC2805469,Nature,2010,0,0,0,0,0,0,0,0
204,PMC2805857,Nature,2009,0,0,0,0,0,0,0,0
205,PMC2806193,Nature,2009,1,0,0,0,0,0,0,0
206,PMC2807667,Nature,2010,0,0,0,0,0,0,0,0
207,PMC2807988,Nature,2010,0,0,0,0,0,0,0,0
208,PMC2809436,Nature,2009,0,0,0,0,0,0,0,0
209,PMC2810205,Nature,2009,0,0,0,0,0,0,0,0
210,PMC2810868,Nature,2009,0,0,0,0,0,0,0,0
211,PMC2811870,Nature,2009,0,0,0,0,0,0,0,0
212,PMC2813891,Nature,2010,0,0,0,0,0,0,0,0
213,PMC2817895,Nature,2009,0,0,0,0,0,0,0,0
214,PMC2818718,Nature,2010,0,0,0,0,0,0,0,0
215,PMC2818749,Nature,2010,0,1,0,0,0,0,0,0
216,PMC2818761,Nature,2010,0,0,0,0,0,0,0,0
