,PMCID,Journal Title,Year,data_shared,code_relevant,preprint,data_upon_request,code_shared,code_upon_request,preregistration,OSF_exploratory
0,PMC2525970,Front Hum Neurosci,2008,0,0,1,0,0,0,0,0
1,PMC2525971,Front Hum Neurosci,2008,0,0,1,0,0,0,0,0
2,PMC2525972,Front Hum Neurosci,2008,0,0,1,0,0,0,0,0
3,PMC2525973,Front Hum Neurosci,2008,0,0,1,0,0,0,0,0
4,PMC2525977,Front Hum Neurosci,2008,0,0,1,0,0,0,0,0
5,PMC2525978,Front Hum Neurosci,2008,0,0,1,0,0,0,0,0
6,PMC2525979,Front Hum Neurosci,2008,0,0,1,0,0,0,0,0
7,PMC2525980,Front Hum Neurosci,2008,0,0,1,0,0,0,0,0
8,PMC2525981,Front Hum Neurosci,2008,0,1,1,0,0,0,0,0
9,PMC2525982,Front Hum Neurosci,2008,0,0,1,0,0,0,0,0
10,PMC2525983,Front Hum Neurosci,2008,0,0,1,0,0,0,0,0
11,PMC2525984,Front Hum Neurosci,2008,0,1,1,0,0,0,0,0
12,PMC2525985,Front Hum Neurosci,2008,0,1,1,0,0,0,0,0
13,PMC2525986,Front Hum Neurosci,2008,0,1,1,0,0,0,0,0
14,PMC2525987,Front Hum Neurosci,2008,0,0,1,0,0,0,0,0
15,PMC2525988,Front Hum Neurosci,2008,0,0,1,0,0,0,0,0
16,PMC2525989,Front Hum Neurosci,2008,0,1,1,0,0,0,0,0
17,PMC2525990,Front Hum Neurosci,2008,0,0,1,0,0,0,0,0
18,PMC2572198,Front Hum Neurosci,2008,0,0,1,0,0,0,0,0
19,PMC2572199,Front Hum Neurosci,2008,0,1,1,0,0,0,0,0
20,PMC2572200,Front Hum Neurosci,2008,0,1,1,0,0,0,0,0
21,PMC2572207,Front Hum Neurosci,2008,0,0,1,0,0,0,0,0
22,PMC2572208,Front Hum Neurosci,2008,0,0,1,0,0,0,0,0
23,PMC2572209,Front Hum Neurosci,2008,0,0,1,0,1,0,0,0
24,PMC2572210,Front Hum Neurosci,2008,0,1,1,0,0,0,0,0
25,PMC2572212,Front Hum Neurosci,2008,0,0,1,0,0,0,0,0
