,PMCID,Journal Title,Year,data_shared,code_relevant,preprint,data_upon_request,code_shared,code_upon_request,preregistration,OSF_exploratory
0,PMC1326223,PLoS Comput Biol,2006,0,0,0,0,0,0,0,0
1,PMC1331982,PLoS Comput Biol,2006,0,0,1,0,0,0,0,0
2,PMC1356089,PLoS Comput Biol,2006,0,0,0,0,0,0,0,0
3,PMC1356091,PLoS Comput Biol,2006,0,0,1,0,0,0,0,0
4,PMC1359070,PLoS Comput Biol,2006,0,0,1,0,0,0,0,0
5,PMC1361357,PLoS Comput Biol,2006,0,0,0,0,0,0,0,0
6,PMC1364505,PLoS Comput Biol,2006,0,0,0,0,0,0,0,0
7,PMC1364506,PLoS Comput Biol,2006,0,0,1,0,0,0,0,0
8,PMC1378105,PLoS Comput Biol,2006,0,0,0,0,0,0,0,0
9,PMC1378106,PLoS Comput Biol,2006,0,0,0,0,0,0,0,0
10,PMC1378107,PLoS Comput Biol,2006,0,0,0,0,0,0,0,0
11,PMC1386723,PLoS Comput Biol,2006,1,1,0,0,1,0,0,0
12,PMC1391917,PLoS Comput Biol,2006,1,0,1,0,0,0,0,0
13,PMC1391918,PLoS Comput Biol,2006,0,0,0,0,0,0,0,0
14,PMC1409812,PLoS Comput Biol,2006,0,1,1,0,0,0,0,0
15,PMC1409813,PLoS Comput Biol,2006,0,0,1,0,0,0,0,0
16,PMC1420657,PLoS Comput Biol,2006,0,0,0,0,0,0,0,0
17,PMC1420660,PLoS Comput Biol,2006,0,0,1,0,0,0,0,0
18,PMC1420661,PLoS Comput Biol,2006,0,0,0,0,0,0,0,0
19,PMC1420664,PLoS Comput Biol,2006,0,1,1,0,0,0,0,0
20,PMC1428791,PLoS Comput Biol,2006,0,0,1,0,0,0,0,0
21,PMC1435986,PLoS Comput Biol,2006,0,0,0,0,0,0,0,0
22,PMC1440919,PLoS Comput Biol,2006,0,0,1,0,0,0,0,0
23,PMC1440920,PLoS Comput Biol,2006,1,0,1,0,1,1,0,0
24,PMC1447652,PLoS Comput Biol,2006,1,0,1,0,0,0,0,0
25,PMC1447654,PLoS Comput Biol,2006,0,1,0,0,0,0,0,0
26,PMC1447655,PLoS Comput Biol,2006,0,0,0,0,0,0,0,0
27,PMC1447656,PLoS Comput Biol,2006,0,0,1,0,0,0,0,0
28,PMC1447657,PLoS Comput Biol,2006,0,0,0,0,0,0,0,0
29,PMC1447658,PLoS Comput Biol,2006,0,0,1,0,0,0,0,0
30,PMC1456316,PLoS Comput Biol,2006,0,0,1,0,0,0,0,0
31,PMC1456317,PLoS Comput Biol,2006,0,0,1,0,0,0,0,0
32,PMC1458964,PLoS Comput Biol,2006,0,0,1,0,0,0,0,0
33,PMC1458965,PLoS Comput Biol,2006,1,0,1,0,0,0,0,0
