,PMCID,Journal Title,Year,data_shared,code_relevant,preprint,data_upon_request,code_shared,code_upon_request,preregistration,OSF_exploratory
0,PMC2892299,Nat Commun,2010,0,1,0,0,0,0,0,0
1,PMC2892300,Nat Commun,2010,0,0,0,0,0,0,0,0
2,PMC2895507,Nat Commun,2010,0,0,0,0,0,0,0,0
3,PMC2895511,Nat Commun,2010,1,0,0,0,0,0,0,0
4,PMC2909503,Nat Commun,2010,0,0,0,0,0,0,0,0
5,PMC2909720,Nat Commun,2010,0,0,0,0,0,0,0,0
6,PMC2963804,Nat Commun,2010,1,0,0,0,0,0,0,0
7,PMC2963806,Nat Commun,2010,0,0,0,0,0,0,0,0
8,PMC2963807,Nat Commun,2010,0,0,0,0,0,0,0,0
9,PMC2963808,Nat Commun,2010,0,1,0,0,0,0,0,0
10,PMC2963826,Nat Commun,2010,0,0,0,0,0,0,0,0
11,PMC2963827,Nat Commun,2010,0,0,0,0,0,0,0,0
12,PMC2963828,Nat Commun,2010,1,1,0,0,0,0,0,0
13,PMC2963829,Nat Commun,2010,0,1,0,0,0,0,0,0
14,PMC2964451,Nat Commun,2010,0,0,0,0,0,0,0,0
15,PMC2964452,Nat Commun,2010,0,0,0,0,0,0,0,0
16,PMC2964453,Nat Commun,2010,1,0,0,0,0,0,0,0
17,PMC2964454,Nat Commun,2010,0,0,0,0,0,0,0,0
18,PMC2964455,Nat Commun,2010,0,0,0,0,0,0,0,0
19,PMC2964456,Nat Commun,2010,0,0,0,0,0,0,0,0
20,PMC2964457,Nat Commun,2010,0,0,0,0,0,0,0,0
21,PMC2972666,Nat Commun,2010,0,0,0,0,0,0,0,0
22,PMC2982161,Nat Commun,2010,0,0,0,0,0,0,0,0
23,PMC2982162,Nat Commun,2010,0,0,0,0,0,0,0,0
24,PMC2982163,Nat Commun,2010,0,0,0,0,0,0,0,0
25,PMC2982164,Nat Commun,2010,0,0,0,0,0,0,0,0
26,PMC2982165,Nat Commun,2010,0,0,0,0,0,0,0,0
27,PMC2982178,Nat Commun,2010,0,0,0,0,0,0,0,0
28,PMC2982179,Nat Commun,2010,0,0,0,0,0,0,0,0
29,PMC2982180,Nat Commun,2010,0,1,0,0,1,0,0,0
30,PMC2982181,Nat Commun,2010,0,0,0,0,0,0,0,0
31,PMC2982182,Nat Commun,2010,0,0,0,0,0,0,0,0
32,PMC3026645,Nat Commun,2010,0,0,0,0,0,0,0,0
33,PMC3046407,Nat Commun,2010,0,0,0,0,0,0,0,0
34,PMC3047011,Nat Commun,2010,0,0,0,0,0,0,0,0
35,PMC3060602,Nat Commun,2010,0,0,0,0,0,0,0,0
36,PMC3060603,Nat Commun,2010,0,0,0,0,0,0,0,0
37,PMC3060604,Nat Commun,2010,0,0,0,0,0,0,0,0
38,PMC3060605,Nat Commun,2010,0,0,0,0,0,0,0,0
39,PMC3060606,Nat Commun,2010,0,0,0,0,0,0,0,0
40,PMC3060619,Nat Commun,2010,0,0,0,0,0,0,0,0
41,PMC3060620,Nat Commun,2010,0,0,0,0,0,0,0,0
42,PMC3060623,Nat Commun,2010,0,0,0,0,0,0,0,0
43,PMC3060624,Nat Commun,2010,0,0,0,0,0,0,0,0
44,PMC3060641,Nat Commun,2010,0,0,0,0,0,0,0,0
45,PMC3065348,Nat Commun,2010,0,0,0,0,0,0,0,0
46,PMC3065713,Nat Commun,2010,1,0,0,0,0,0,0,0
47,PMC3065906,Nat Commun,2010,0,0,0,0,0,0,0,0
48,PMC3065908,Nat Commun,2010,0,0,0,0,0,0,0,0
49,PMC3065909,Nat Commun,2010,0,0,0,0,0,0,0,0
50,PMC3066551,Nat Commun,2010,0,0,1,0,0,0,0,0
51,PMC3072065,Nat Commun,2011,0,0,0,0,0,0,0,0
52,PMC3072066,Nat Commun,2011,0,1,0,0,0,0,0,0
53,PMC3072069,Nat Commun,2011,0,0,0,0,0,0,0,0
54,PMC3072070,Nat Commun,2011,0,0,0,0,0,0,0,0
55,PMC3072071,Nat Commun,2011,0,0,0,0,0,0,0,0
56,PMC3072078,Nat Commun,2011,0,0,0,0,0,0,0,0
57,PMC3072079,Nat Commun,2011,0,1,0,0,0,0,0,0
58,PMC3072080,Nat Commun,2011,0,0,0,0,0,0,0,0
59,PMC3072094,Nat Commun,2011,0,0,0,0,0,0,0,0
60,PMC3072095,Nat Commun,2011,0,1,0,0,0,0,0,0
61,PMC3072096,Nat Commun,2011,0,0,0,0,0,0,0,0
62,PMC3072097,Nat Commun,2011,0,0,0,0,0,0,0,0
63,PMC3072098,Nat Commun,2011,0,0,0,0,0,0,0,0
64,PMC3072099,Nat Commun,2011,0,1,0,0,0,0,0,0
65,PMC3072100,Nat Commun,2011,0,0,1,0,0,0,0,0
66,PMC3072101,Nat Commun,2011,0,0,0,0,0,0,0,0
67,PMC3072102,Nat Commun,2011,0,0,0,0,0,0,0,0
68,PMC3072103,Nat Commun,2011,0,0,0,0,0,0,0,0
69,PMC3072104,Nat Commun,2011,0,0,0,0,0,0,0,0
70,PMC3072105,Nat Commun,2011,0,0,0,0,0,0,0,0
71,PMC3072106,Nat Commun,2011,1,0,0,0,0,0,0,0
72,PMC3074097,Nat Commun,2011,0,1,0,0,0,0,0,0
73,PMC3079281,Nat Commun,2010,0,0,0,0,0,0,0,0
74,PMC3080249,Nat Commun,2011,0,0,0,0,0,0,0,0
75,PMC3096875,Nat Commun,2011,0,1,0,0,0,0,0,0
76,PMC3104512,Nat Commun,2011,0,0,0,0,0,0,0,0
77,PMC3104514,Nat Commun,2011,0,0,0,0,0,0,0,0
78,PMC3104515,Nat Commun,2011,0,0,0,0,0,0,0,0
79,PMC3104516,Nat Commun,2011,0,0,0,0,0,0,0,0
80,PMC3104517,Nat Commun,2011,0,0,0,0,0,0,0,0
81,PMC3104518,Nat Commun,2011,0,0,0,0,0,0,0,0
82,PMC3104521,Nat Commun,2011,0,0,1,0,0,0,0,0
83,PMC3104522,Nat Commun,2011,0,0,0,0,0,0,0,0
84,PMC3104523,Nat Commun,2011,1,0,0,0,0,0,0,0
85,PMC3104547,Nat Commun,2011,0,0,0,0,0,0,0,0
86,PMC3104548,Nat Commun,2011,1,1,0,0,0,0,0,0
