,PMCID,Journal Title,Year,data_shared,code_relevant,preprint,data_upon_request,code_shared,code_upon_request,preregistration,OSF_exploratory
0,PMC4880897,Sci Rep,2016,1,0,0,0,0,0,0,0
1,PMC4880898,Sci Rep,2016,0,0,0,0,0,0,0,0
2,PMC4880899,Sci Rep,2016,0,1,0,0,0,0,0,0
3,PMC4880900,Sci Rep,2016,0,0,0,0,0,0,0,0
4,PMC4880901,Sci Rep,2016,0,1,0,0,0,0,0,0
5,PMC4880902,Sci Rep,2016,0,0,0,0,1,0,0,0
6,PMC4880903,Sci Rep,2016,0,0,0,0,0,0,0,0
7,PMC4880904,Sci Rep,2016,0,1,0,0,0,0,0,0
8,PMC4880905,Sci Rep,2016,0,0,0,0,0,0,0,0
9,PMC4880906,Sci Rep,2016,1,0,0,0,0,0,0,0
10,PMC4880907,Sci Rep,2016,0,0,0,0,0,0,0,0
11,PMC4880908,Sci Rep,2016,0,0,0,0,0,0,0,0
12,PMC4880909,Sci Rep,2016,0,0,0,0,0,0,0,0
13,PMC4880910,Sci Rep,2016,0,0,0,0,0,0,0,0
14,PMC4880911,Sci Rep,2016,0,0,0,0,1,0,0,0
15,PMC4880912,Sci Rep,2016,1,0,0,0,0,0,0,0
16,PMC4880913,Sci Rep,2016,0,0,0,0,0,0,0,0
17,PMC4880914,Sci Rep,2016,0,0,0,0,0,0,0,0
18,PMC4880915,Sci Rep,2016,0,1,0,0,0,0,0,0
19,PMC4880916,Sci Rep,2016,0,0,0,0,0,0,0,0
20,PMC4880917,Sci Rep,2016,0,0,0,0,0,0,0,0
21,PMC4880918,Sci Rep,2016,1,0,1,0,0,0,0,0
22,PMC4880919,Sci Rep,2016,0,0,0,0,0,0,0,0
23,PMC4880920,Sci Rep,2016,0,0,0,0,0,0,0,0
24,PMC4880921,Sci Rep,2016,0,0,0,0,0,0,0,0
25,PMC4880922,Sci Rep,2016,0,0,0,0,0,0,0,0
26,PMC4880923,Sci Rep,2016,1,0,0,0,0,0,0,0
27,PMC4880924,Sci Rep,2016,1,0,0,0,0,0,0,0
28,PMC4880925,Sci Rep,2016,0,0,0,0,0,0,0,0
29,PMC4880926,Sci Rep,2016,0,0,0,0,0,0,0,0
30,PMC4880927,Sci Rep,2016,0,1,0,0,0,0,0,0
31,PMC4880928,Sci Rep,2016,0,0,0,0,0,0,0,0
