,PMCID,sentence
0,PMC3939493,"title>Data collection and processing</title>
        <p>Data sets were integrated and scaled using MOSFLM (<xref rid=""bib36"" ref-type=""bibr"">Leslie and Powell, 2007</xref>) (SeMet and native <italic>L. m"
1,PMC3939493,"ven-names></name></person-group>
<year>2007</year>
<article-title>Processing diffraction data with Mosflm</article-title>. <source>Evolving Methods for Macromolecular Crystallography</source><volume>245<"
0,PMC3978770,"irection and 2.6 &#xC5; in the other directions. X-ray diffraction data were indexed with program imosfilm and scaled with Scala (<xref rid=""bib30"" ref-type=""bibr"">Project, 1994</xref>), combined with el"
0,PMC3994528,"at Cornell High Energy Synchrotron Source (CHESS) beamline F1 and were processed and scaled using iMOSFLM and SCALA (<xref rid=""bib3"" ref-type=""bibr"">Battye et al., 2011</xref>; <xref rid=""bib19"" ref-typ"
1,PMC3994528,"slie</surname><given-names>A</given-names></name></person-group>
<year>2011</year>
<article-title>iMOSFLM: a new graphical interface for diffraction-image processing with MOSFLM</article-title>. <source>"
2,PMC3994528,"011</year>
<article-title>iMOSFLM: a new graphical interface for diffraction-image processing with MOSFLM</article-title>. <source>Acta Crystallographica Section D, Biological Crystallography</source><vo"
0,PMC4032492," is part of the CCP4 suite (<xref rid=""bib107"" ref-type=""bibr"">Winn et al., 2011</xref>) and uses iMOSFLM (<xref rid=""bib7"" ref-type=""bibr"">Battye et al., 2011</xref>) for integration and Scala (<xref ri"
1,PMC4032492,"lie</surname><given-names>AG</given-names></name></person-group>
<year>2011</year>
<article-title>iMOSFLM: a new graphical interface for diffraction-image processing with MOSFLM</article-title>. <source>"
2,PMC4032492,"011</year>
<article-title>iMOSFLM: a new graphical interface for diffraction-image processing with MOSFLM</article-title>. <source>Acta Crystallographica. Section D, Biological Crystallography</source><v"
0,PMC4051120,"n-names></name><name><surname>Cristina</surname><given-names>J</given-names></name><name><surname>Grosfeld</surname><given-names>H</given-names></name></person-group>
<year>1996</year>
<article-title>Tra"
0,PMC4067749,"names></name></person-group>
<year>2006</year>
<article-title>Photoconvertible fluorescent protein EosFP: biophysical properties and cell biology applications</article-title>. <source>Photochemistry and "
1,PMC4067749,"/surname><given-names>GU</given-names></name></person-group>
<year>2011</year>
<article-title>From EosFP to mIrisFP: structure-based development of advanced photoactivatable marker proteins of the GFP-fa"
