,PMCID,sentence
0,PMC3879105,", and 800 ng/ml BMP6 + 6 ng/ml IL6. The blue and green solid lines show linear fits to the data, and R indicates the Pearson correlation coefficient of each qPCR replicate series. See Supplemental <xref "
0,PMC3879106,"i.1003399-Brooks1"">
        <label>10</label>
        <mixed-citation publication-type=""book"">Brooks R (1999) Cambrian Intelligence. MIT Press.</mixed-citation>
      </ref>
      <ref id=""pcbi.1003399-P"
1,PMC3879106,"gard1"">
        <label>29</label>
        <mixed-citation publication-type=""book"">Bongard J, Pfeifer R (2001) Repeated structure and dissociation of genotypic and phenotypic complexity in Artificial Onto"
2,PMC3879106,"bel>62</label>
        <mixed-citation publication-type=""book"">Clune J, Beckmann B, Ofria C, Pennock R (2009) Evolving coordinated quadruped gaits with the HyperNEAT generative encoding. In: Proceedings "
0,PMC3879139,"       <label>21</label>
        <mixed-citation publication-type=""other"">Bialek W &amp; Ranganathan R (2007) Rediscovering the power of pairwise interactions. <italic>arXiv.org</italic>: 0712.4397.</mix"
0,PMC3879146,"ured and predicted response to the 24 stimuli in the test set. Responses are shown in z-score units. r indicates Pearson's correlation coefficient.</p>
          </caption>
          <graphic xlink:href="
0,PMC3886887,"egg1"">
        <label>1</label>
        <mixed-citation publication-type=""other"">Begg D, Whittington R (2010) Paratuberculosis in Sheep, in Paratuberculosis Organism, Disease, Control, p. 157&#x2013;164 "
1,PMC3886887,"eau1"">
        <label>2</label>
        <mixed-citation publication-type=""other"">Fecteau M, Whitlock R (2010) Paratuberculosis in Sheep, in Paratuberculosis Organism, Disease, Control, p. 144&#x2013;156."
0,PMC3886893, of clusters of cortical areas in the macaque monkey and the cat</article-title>. <source>Phil Trans R Soc Lond B</source><volume>355</volume>: <fpage>91</fpage>&#x2013;<lpage>110</lpage><pub-id pub-id-t
1,PMC3886893, Collation of Connectivity data on the Macaque brain (CoCoMac)</article-title>. <source>Philos Trans R Soc London B</source><volume>356</volume>: <fpage>1159</fpage>&#x2013;<lpage>1186</lpage><pub-id pub
0,PMC3886896,"type=""other"">R Development Core Team (2011) R: A Language and Environment for Statistical Computing. R Foundation for Statistical Computing, Vienna, Austria. URL <ext-link ext-link-type=""uri"" xlink:href="
1,PMC3886896,ven-names></name> (<year>2004</year>) <article-title>APE: analyses of phylogenetics and evolution in R language</article-title>. <source>Bioinformatics</source><volume>20</volume>: <fpage>289</fpage>&#x2
0,PMC3890420,ied by deconvoluting the intensity of WISP1 staining from nonspecific hematoxylin tissue staining in R using the <italic>EBImage</italic> package and deconvolution approach described by Ruifrok and Johns
1,PMC3890420," of the Gehan-Wilcoxon test and the Cox proportional hazards regression model, as implemented in the R <italic>survival</italic> package. Based upon criticism of other gene signatures associated with can"
2,PMC3890420,"chance, where a p&#x2013;value&lt;0.05 was considered significant. All analyses were performed using R software version 2.14.1 (<ext-link ext-link-type=""uri"" xlink:href=""http://www.r-project.org"">http://"
0,PMC3894153,"ximated by <inline-formula><inline-graphic xlink:href=""pcbi.1003426.e136.jpg""/></inline-formula> for R in nm and M in Daltons <xref rid=""pcbi.1003426-Erickson1"" ref-type=""bibr"">[50]</xref>. We estimate t"
0,PMC3894161,"ue positive rates <italic>versus</italic> the average false positive rates using the ROCR library in R <xref rid=""pcbi.1003429-Sing1"" ref-type=""bibr"">[30]</xref>. As shown in <xref ref-type=""fig"" rid=""pc"
1,PMC3894161,"pcbi.1003429-Neal1"">
        <label>56</label>
        <mixed-citation publication-type=""other"">Neal R (1997) Monte Carlo implementation of Gaussian process models for Bayesian regression and classificat"
0,PMC3900374,le>Conflicts of interest and the evolution of decision sharing</article-title>. <source>Philos Trans R Soc Lond B Biol Sci</source><volume>364</volume>: <fpage>807</fpage>&#x2013;<lpage>819</lpage><pub-i
1,PMC3900374, <article-title>Quorum responses and consensus decision making</article-title>. <source>Philos Trans R Soc Lond B Biol Sci</source><volume>364</volume>: <fpage>743</fpage>&#x2013;<lpage>753</lpage><pub-i
2,PMC3900374,"r>) <article-title>Personality in the context of social networks</article-title>. <source>Phil Trans R Soc</source><volume>365</volume>: <fpage>4099</fpage>&#x2013;<lpage>4106</lpage></mixed-citation>
  "
0,PMC3900379,emiology of severe malaria in an area of low transmission in Thailand</article-title>. <source>Trans R Soc Trop Med Hyg</source><volume>91</volume>: <fpage>256</fpage>&#x2013;<lpage>262</lpage><pub-id pu
1,PMC3900379,ytes: parameter estimates from fitting a model to malariatherapy data</article-title>. <source>Trans R Soc Trop Med Hyg</source><volume>95</volume>: <fpage>497</fpage>&#x2013;<lpage>501</lpage><pub-id pu
0,PMC3900380,"xlink:href=""http://www.biomart.org"">www.biomart.org</ext-link>, genome assembly BDGP 5.12) using the R package biomaRt <xref rid=""pcbi.1003419-Durinck1"" ref-type=""bibr"">[64]</xref>. Promoter regions were"
1,PMC3900380,"ent output was converted from SAM to BAM format using SAMtools 0.1.18 and BAM files were imported in R using Rsamtools (Morgan, M. and Pag&#xE8;s, H., Rsamtools: Binary alignment (BAM), variant call (BCF"
2,PMC3900380," M. and Pag&#xE8;s, H., Rsamtools: Binary alignment (BAM), variant call (BCF), or tabix file import, R package version 1.8.6). Feature signals in both promoters and genomic bins were estimated as follows"
