,PMCID,sentence
0,PMC3916226,"S1</xref>, <xref ref-type=""supplementary-material"" rid=""pcbi.1003471.s009"">S2</xref>. Matlab source code is available for download at <ext-link ext-link-type=""uri"" xlink:href=""http://www.bsse.ethz.ch/ctsb/tools/microg"
0,PMC3983080,"f> for further details). All programming and simulation was performed in Matlab R2011b (7.13.0) and code is available in <xref ref-type=""supplementary-material"" rid=""pcbi.1003546.s001"">Dataset S1</xref>.</p>
        <"
0,PMC4140633,"with wrapper scripts that prepare the Genome Comparator outputs and a detailed manual, the relevant code is available at: <ext-link ext-link-type=""uri"" xlink:href=""https://sourceforge.net/projects/bayesianestimatedcor"
0,PMC4154648,"n.de/impact.html"">http://cellnet.cecad.uni-koeln.de/impact.html</ext-link>.</p>
      <p>The source code is available at <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/SimeoneMarsico/IMPACT"">https://gith"
0,PMC4168982,"locBuster</title>
        <sec id=""s4b1"">
          <title>CCC</title>
          <p>Our open-source code is available at <ext-link ext-link-type=""uri"" xlink:href=""http://www.blocbuster.org"">www.blocbuster.org</ext-lin"
0,PMC4177671,"able via the PyPI Python package system through standard tools (easy_install/pip), and their source code is available on GitHub (<ext-link ext-link-type=""uri"" xlink:href=""http://github.com/veg/idepi"">github.com/veg/id"
0,PMC4207607,"-formula> was assumed uniform over all states if not otherwise noted.</p>
        <p>All simulation code is available online as <italic><xref ref-type=""supplementary-material"" rid=""pcbi.1003859.s001"">Dataset S1</xref>"
0,PMC4214557,"ssing with the longest rate, the second diffusion coordinate is the second longest, etc. The LSDMap code is available via SourceForge <xref rid=""pcbi.1003797-Bethune1"" ref-type=""bibr"">[61]</xref>.</p>
      </sec>
   "
0,PMC4222596,"<title>Availability</title>
        <p>PconsC2 is licensed under the Gnu Public License. The source code is available from <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/ElofssonLab/PconsC2/"">https://git"
0,PMC4222664,"r"">[55]</xref>. Then each obtained image was converted to a vector of length (8&#xD7;8&#xD7;8). The code is available from here: <ext-link ext-link-type=""uri"" xlink:href=""http://people.csail.mit.edu/torralba/code/spat"
0,PMC4230754,"en-source web-based application developed in the Eclipse IDE (The Eclipse Foundation). Model source code is available for download at the website <ext-link ext-link-type=""uri"" xlink:href=""http://remoto.leb.usp.br/"">ht"
0,PMC4256015,"ngs are fully available without restriction. All relevant data are within the paper. The simulation code is available from ModelDB, the accession number is 167714: <ext-link ext-link-type=""uri"" xlink:href=""http://sens"
1,PMC4256015,"ngs are fully available without restriction. All relevant data are within the paper. The simulation code is available from ModelDB, the accession number is 167714: <ext-link ext-link-type=""uri"" xlink:href=""http://sens"
2,PMC4256015,"ng.</p>
      <p>We consider a model containing sodium, potassium and chloride ions. The simulation code is available from ModelDB <xref rid=""pcbi.1003941-Hines1"" ref-type=""bibr"">[24]</xref>, the accession number is 1"
0,PMC4303260,"ilability"">
          <meta-name>Data Availability</meta-name>
          <meta-value>All the source code is available on a Github public repository (DOI <ext-link ext-link-type=""uri"" xlink:href=""http://dx.doi.org/10.5"
1,PMC4303260,"oup>
    </article-meta>
    <notes>
      <title>Data Availability</title>
      <p>All the source code is available on a Github public repository (DOI <ext-link ext-link-type=""uri"" xlink:href=""http://dx.doi.org/10.5"
0,PMC4352062,"/"">https://code.google.com/p/sofast-imagej-plugin/source/browse/</ext-link>. Our MBTFM optimization code is available at <ext-link ext-link-type=""uri"" xlink:href=""https://code.google.com/p/mbtfm/source/browse/"">https:"
