,PMCID,sentence
0,PMC3879095,"-Westermark1"" ref-type=""bibr"">[11]</xref>, where a discussion of their values based on experimental data can be found. HERG channel conductance, <inline-formula><inline-graphic xlink:href=""pcbi.1003389.e389.jpg""/></in"
0,PMC3990472,"y during a RDM task for different values of coherence. A complete account of the corresponding real data can be found in <xref rid=""pcbi.1003492-Roitman1"" ref-type=""bibr"">[25]</xref>.</p>
          </caption>
        "
0,PMC4072519," authors confirm that all data underlying the findings are fully available without restriction. The data can be found in the Supporting Information file <xref ref-type=""supplementary-material"" rid=""pcbi.1003685.s001"">"
1,PMC4072519," authors confirm that all data underlying the findings are fully available without restriction. The data can be found in the Supporting Information file <xref ref-type=""supplementary-material"" rid=""pcbi.1003685.s001"">"
0,PMC4109845,"uisition we captured several midges in the recorded swarm for lab analysis. A summary of all swarms data can be found in Table S1 in <xref ref-type=""supplementary-material"" rid=""pcbi.1003697.s004"">Text S1</xref>.</p>
"
0,PMC4133156,ors confirm that all data underlying the findings are fully available without restriction. Relevant data can be found within the paper and its Supporting Information files. Other relevant data can be found at the ESCA
1,PMC4133156,"n. Relevant data can be found within the paper and its Supporting Information files. Other relevant data can be found at the ESCAPE database available at: <ext-link ext-link-type=""uri"" xlink:href=""http://www.maayanlab"
2,PMC4133156,ors confirm that all data underlying the findings are fully available without restriction. Relevant data can be found within the paper and its Supporting Information files. Other relevant data can be found at the ESCA
3,PMC4133156,"n. Relevant data can be found within the paper and its Supporting Information files. Other relevant data can be found at the ESCAPE database available at: <ext-link ext-link-type=""uri"" xlink:href=""http://www.maayanlab"
0,PMC4388480,"ef=""http://dx.doi.org/10.7280/D1X59T"">10.7280/D1X59T</ext-link>. The codes to produce the synthetic data can be found in the manuscript supplemental information (<xref ref-type=""supplementary-material"" rid=""pcbi.10041"
1,PMC4388480,"ef=""http://dx.doi.org/10.7280/D1X59T"">10.7280/D1X59T</ext-link>. The codes to produce the synthetic data can be found in the manuscript supplemental information (<xref ref-type=""supplementary-material"" rid=""pcbi.10041"
0,PMC4415777,"ossible, ask your collaboration partner for a standardized data format. Good guides on how to share data can be found in [<xref rid=""pcbi.1004214.ref004"" ref-type=""bibr"">4</xref>,<xref rid=""pcbi.1004214.ref005"" ref-ty"
0,PMC4498931," each gene. Cells and genes with low expression were removed as described in Results. The processed data can be found in <xref rid=""pcbi.1004224.s033"" ref-type=""supplementary-material"">S1 Dataset</xref>. The same norm"
1,PMC4498931,"nsformed the data by applying a hyperbolic arcsin transformation with a cofactor of five. Processed data can be found in <xref rid=""pcbi.1004224.s037"" ref-type=""supplementary-material"">S5 Dataset</xref>.</p>
      </s"
2,PMC4498931," changes in expression, and reduced the average expression of each gene in all 312 cells. Processed data can be found in <xref rid=""pcbi.1004224.s038"" ref-type=""supplementary-material"">S6 Dataset</xref>.</p>
      </s"
0,PMC4517797,"Gx relationships (shown in orange) or drug-target relationships (shown in blue). The raw prediction data can be found in <xref rid=""pcbi.1004216.s007"" ref-type=""supplementary-material"">S4 Data</xref>. Known PGx or dru"
0,PMC4537296,"ic>W</italic>
<sub><italic>rel</italic></sub> value of each amino acid mutation (the final analyzed data can be found in <bold><xref rid=""pcbi.1004421.s003"" ref-type=""supplementary-material"">S3 File</xref></bold>, inc"
0,PMC4565690,"f rid=""pcbi.1004385.ref006"" ref-type=""bibr"">6</xref>] and record in your notebook where the code or data can be found.</p>
    </sec>
    <sec id=""sec003"">
      <title>Rule 3: Make the Habit of Keeping the Lab Notebo"
0,PMC4570669,"availability"">
          <meta-name>Data Availability</meta-name>
          <meta-value>All network data can be found at <ext-link ext-link-type=""uri"" xlink:href=""http://www.stats.ox.ac.uk/research/proteins/resources#"
1,PMC4570669,"-group>
    </article-meta>
    <notes>
      <title>Data Availability</title>
      <p>All network data can be found at <ext-link ext-link-type=""uri"" xlink:href=""http://www.stats.ox.ac.uk/research/proteins/resources#"
