,PMCID,sentence
0,PMC3930495,"heir steady-state values, and restricting the flux of any other reaction for which any experimental data is available at their experimentally determined values or ranges (<xref ref-type=""fig"" rid=""pcbi-1003487-g002"">F"
0,PMC3952820,"]</xref> or algorithmically <xref rid=""pcbi.1003499-Schwen1"" ref-type=""bibr"">[42]</xref> determined data is available. Similarly, more detailed information about the geometric shape of lobuli (as in <xref rid=""pcbi.10"
0,PMC3974635,"or the macaque <xref rid=""pcbi.1003557-Modha1"" ref-type=""bibr"">[75]</xref>, for which tract-tracing data is available.</p>
      <p>Being a real complex network with a diverse and extraordinarily complex set of functi"
0,PMC3974644," <xref ref-type=""supplementary-material"" rid=""pcbi.1003559.s003"">Figure S3</xref>). In addition all data is available in tab delimited text format on <ext-link ext-link-type=""uri"" xlink:href=""http://www.gjpvanwesten.n"
1,PMC3974644,"ype=""table"" rid=""pcbi-1003559-t001"">Table 1</xref>). Non-balanced models have also been trained and data is available in the supplementary information.</p>
        <p>The use of (circular) fingerprints in the full (no"
2,PMC3974644,"s which was roughly equal in size to the number of bioactivities present in the allosteric set. All data is available on <ext-link ext-link-type=""uri"" xlink:href=""http://www.gjpvanwesten.nl/allosterism"">www.gjpvanwest"
0,PMC3990492,"""pcbi-1003555-t002"">Table 2</xref>). In addition, RFMix accuracy slightly increases when sequencing data is available from an r<sup>2</sup>&#x200A;=&#x200A;0.84 to 0.87. We also observe a lower performance of MULTIMIX"
0,PMC3990502,"ty, its availability has a known lag-time of between 7&#x2013;14 days, meaning that by the time the data is available, the information is already 1&#x2013;2 weeks old. To appropriately distribute vaccines, staff, and "
1,PMC3990502,".946 (p&lt;0.001). The actual observed range of ILI activity throughout the entire period for which data is available, as reported by the CDC, was from 0.47&#x2013;7.72%, with a median value of 1.40%. In comparison, t"
2,PMC3990502,"> model was able to accurately estimate the ILI activity peak in 3 of 6 influenza seasons for which data is available (2009&#x2013;2010, 2010&#x2013;2011 and 2012&#x2013;2013 seasons), and was within one week of an ac"
3,PMC3990502,"t estimating the level of ILI activity in the US, when compared to CDC data. Wikipedia article view data is available daily (and hourly, if necessary), and can provide a reliable estimate of ILI activity up to 2 weeks"
0,PMC3998872,"is approach was designed to estimate flux distributions in perturbed states for which no expression data is available, the first step can, in principle, be used to predict flux distributions based on gene expression d"
0,PMC3998891," a lower affinity for O<sub>2</sub>, 3 nm interaction radius). As, thus far, no accurate biological data is available for ArcBA system, the radii <italic>r<sub>5&#x2026;11</sub></italic> were arbitrarily defined and w"
0,PMC4006703,"her than genes or proteins, an <italic>in silico</italic> Apo E knock-out mouse is possible only if data is available that will guide the necessary parameter changes.</p>
      <p>The LDL receptor is a related protein"
0,PMC4014397," superscript (&#x2260;j) relates to which supplement is missing in the N-1 cocktail. When only pair data is available, this formula is used iteratively: the triplets are predicted from pair weights, the quadruplet use"
0,PMC4072519,ndent stochastic processes characterized by complex dynamics. An increasing amount of time-resolved data is available reporting on the unique chemical fingerprints that specific cellular processes leave behind <xref r
0,PMC4091706,"cbi.1003716.s002"">Text S1</xref> for additional details). The coarse-grained mobile phone commuting data is available as supporting information (<xref ref-type=""supplementary-material"" rid=""pcbi.1003716.s001"">Dataset "
0,PMC4102394,"mportant sequence elements are believed to be more degenerate or when only small amount of training data is available. Although the choice of <italic>k</italic> directly affects the feature set, our analysis of severa"
0,PMC4109854,ulon provides an alternative approach to probe a particular biological process when gene expression data is available but the TF is not known in advance and/or ChIP-Seq is not feasible. By combining iRegulon with RNA-
0,PMC4117418,"e hour after staining. Cell sorting was performed on BD Aria II (Beckman Center, Stanford). The raw data is available in supplement <xref ref-type=""supplementary-material"" rid=""pcbi.1003664.s002"">Dataset S1</xref> as "
0,PMC4125050,"mula>, could also be time dependent. Here we have chosen to ignore this possibility as no published data is available to guide such modeling efforts.</p>
      <p>At treatment initiation (<inline-formula><inline-graph"
0,PMC4154649,"udis</italic>
<xref rid=""pcbi.1003827-Stolyar1"" ref-type=""bibr"">[16]</xref>, for which experimental data is available in the literature. The syntrophy-based mutualism between these two organisms is essential for the d"
0,PMC4161298," Case Control Consortium. A full list of the investigators who contributed to the generation of the data is available from <ext-link ext-link-type=""uri"" xlink:href=""http://www.wtccc.org.uk"">www.wtccc.org.uk</ext-link>"
0,PMC4177667,"ince the number of genes under study is relatively small. However, as the number of genes for which data is available increases (as will be the case, for example, with single-cell RNA-sequencing studies), an automated"
0,PMC4183428,"onnected EEG or a faulty connection), the log-likelihood can be constructed from whatever remaining data is available.</p>
      </sec>
      <sec id=""s4i"">
        <title>Computing SOP Population Spectrograms</title>"
0,PMC4211564,"ermore, extension by additional reaction mechanisms is relatively easy in case further experimental data is available or other cellular functions are of interest, e.g. the response of primary metabolism to osmotic str"
0,PMC4256069,"O<sub>2</sub> to the BNC in the A-type C<italic>c</italic>oxs. Nevertheless, until new experimental data is available, we cannot rule out the hypothesis that all three channels may be working under physiological condi"
0,PMC4263412," has also been used to infer transmission events for small epidemic outbreaks where epidemiological data is available in the form of known infection and recovery times for each host <xref rid=""pcbi.1003919-Ypma1"" ref-"
1,PMC4263412," it is possible to infer all the parameters of the tree process prior when time-stamped comparative data is available. This is an interesting insight: if no fossils are available, we can only infer two out of the thre"
0,PMC4270428,"ential TF-gene interactions with an optional probabilistic prior/likelihood for the interaction. If data is available for the specific condition/cell type being studied these can be used, otherwise general data can be"
0,PMC4288728,"m that all data underlying the findings are fully available without restriction. The chemical shift data is available on the BMRB database: <ext-link ext-link-type=""uri"" xlink:href=""http://www.bmrb.wisc.edu/"">http://w"
1,PMC4288728,"m that all data underlying the findings are fully available without restriction. The chemical shift data is available on the BMRB database: <ext-link ext-link-type=""uri"" xlink:href=""http://www.bmrb.wisc.edu/"">http://w"
0,PMC4344308,"71/journal.pbio.1000047#s5</ext-link>. 2. The study also used mutagenesis data: a. The PDZ mutation data is available directly from the Ranganathan lab website, <ext-link ext-link-type=""uri"" xlink:href=""http://systems"
1,PMC4344308,"71/journal.pbio.1000047#s5</ext-link>. 2. The study also used mutagenesis data: a. The PDZ mutation data is available directly from the Ranganathan lab website, <ext-link ext-link-type=""uri"" xlink:href=""http://systems"
2,PMC4344308,"xref>], is only one possible procedure for analyzing correlations in sequence alignments. Once more data is available for proteins containing multiple sectors, it will be important to compare different sets of positio"
0,PMC4358997," in the Github repository for reproducing our figures, tables, and statistical analyses. Sequencing data is available through dbGaP (phs000767). Interested researchers must be approved for access by dbGaP to preserve "
1,PMC4358997," in the Github repository for reproducing our figures, tables, and statistical analyses. Sequencing data is available through dbGaP (phs000767). Interested researchers must be approved for access by dbGaP to preserve "
2,PMC4358997," in the Github repository for reproducing our figures, tables, and statistical analyses. Sequencing data is available through dbGaP (phs000767).</p>
      </sec>
    </sec>
    <sec sec-type=""supplementary-material"" i"
0,PMC4379067,"/p>
        <p>Detectability of synaptic connections from spike trains depends strongly on how much data is available. With only a short recording of pre- and postsynaptic spikes it is difficult to determine if two ne"
0,PMC4405366,"""pcbi.1004247.ref033"" ref-type=""bibr"">33</xref>]). Moreover, no structural or molecular interaction data is available on any TAD cancer mutants except K24N [<xref rid=""pcbi.1004247.ref037"" ref-type=""bibr"">37</xref>].<"
1,PMC4405366,"xref rid=""pcbi.1004247.g001"" ref-type=""fig"">Fig 1A</xref>). At present, little concrete biophysical data is available on how TAD cancer mutants may perturb p53&#x2019;s interaction with various regulatory proteins. Th"
0,PMC4423992,"ithub.com/zdk123/SpiecEasi"">https://github.com/zdk123/SpiecEasi</ext-link>. All presented numerical data is available at <ext-link ext-link-type=""uri"" xlink:href=""http://bonneaulab.bio.nyu.edu/"">http://bonneaulab.bio."
