,PMCID,sentence
0,PMC3879106,"s reported in this paper is publicly available at <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/jauerb/CPPN_Trimesh"">https://github.com/jauerb/CPPN_Trimesh</ext-link></p>
        <p>Additiona"
1,PMC3879106,"ilable at <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/jauerb/CPPN_Trimesh"">https://github.com/jauerb/CPPN_Trimesh</ext-link></p>
        <p>Additionally, the data files corresponding to the"
0,PMC3900372,"ture, we also examined a sample of projects from open software repositories, including SourceForge, GitHub, and BitBucket.</p>
      <p>For our review, we used information about each tool's update history, "
1,PMC3900372,"ation has changed somewhat over the last seven years. With the explosion of open-source activity on GitHub and BitBucket, and the increasing use of community sites such as StackOverflow to discuss design an"
0,PMC3900380,"</ext-link>). Custom R scripts are available from <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/FedericoComoglio/ToR"">https://github.com/FedericoComoglio/ToR</ext-link>.</p>
      </sec>
    "
1,PMC3900380,"ble from <ext-link ext-link-type=""uri"" xlink:href=""https://github.com/FedericoComoglio/ToR"">https://github.com/FedericoComoglio/ToR</ext-link>.</p>
      </sec>
    </sec>
    <sec sec-type=""supplementary-m"
0,PMC3916221,"alance experiments. CoReCo is available at <ext-link ext-link-type=""uri"" xlink:href=""http://esaskar.github.io/CoReCo/"">http://esaskar.github.io/CoReCo/</ext-link>.</p>
      </abstract>
      <abstract abst"
1,PMC3916221,"lable at <ext-link ext-link-type=""uri"" xlink:href=""http://esaskar.github.io/CoReCo/"">http://esaskar.github.io/CoReCo/</ext-link>.</p>
      </abstract>
      <abstract abstract-type=""summary"">
        <titl"
0,PMC3937129," corresponding code is already publicly available (<ext-link ext-link-type=""uri"" xlink:href=""http://github.com/fhcrc/hyperfreq"">http://github.com/fhcrc/hyperfreq</ext-link>; see <xref ref-type=""sec"" rid=""s4"
1,PMC3937129,"icly available (<ext-link ext-link-type=""uri"" xlink:href=""http://github.com/fhcrc/hyperfreq"">http://github.com/fhcrc/hyperfreq</ext-link>; see <xref ref-type=""sec"" rid=""s4"">Materials and Methods</xref> for "
2,PMC3937129,"our posterior estimation framework is available at <ext-link ext-link-type=""uri"" xlink:href=""http://github.com/fhcrc/hyperfreq"">http://github.com/fhcrc/hyperfreq</ext-link>. This program, as well as the rou"
3,PMC3937129,"is available at <ext-link ext-link-type=""uri"" xlink:href=""http://github.com/fhcrc/hyperfreq"">http://github.com/fhcrc/hyperfreq</ext-link>. This program, as well as the routines to perform clustering to find"
4,PMC3937129,"yperfreq</italic>, which is publicly accessible at <ext-link ext-link-type=""uri"" xlink:href=""http://github.com/fhcrc/hyperfreq"">http://github.com/fhcrc/hyperfreq</ext-link>. The core component responsible f"
5,PMC3937129,"y accessible at <ext-link ext-link-type=""uri"" xlink:href=""http://github.com/fhcrc/hyperfreq"">http://github.com/fhcrc/hyperfreq</ext-link>. The core component responsible for evaluation of the <italic>BetaRa"
6,PMC3937129,"distributions is available as a separate module at <ext-link ext-link-type=""uri"" xlink:href=""http://github.com/fhcrc/betarat"">http://github.com/fhcrc/betarat</ext-link>.</p>
        </sec>
        <sec id="""
7,PMC3937129,"eparate module at <ext-link ext-link-type=""uri"" xlink:href=""http://github.com/fhcrc/betarat"">http://github.com/fhcrc/betarat</ext-link>.</p>
        </sec>
        <sec id=""s4b6"">
          <title>Simulatio"
0,PMC3953644,"osel"">http://spring.inm.ras.ru/osel</ext-link> and <ext-link ext-link-type=""uri"" xlink:href=""http://github.com/oseledets/TT-Toolbox"">http://github.com/oseledets/TT-Toolbox</ext-link>; to be consistent, we u"
1,PMC3953644,"-link> and <ext-link ext-link-type=""uri"" xlink:href=""http://github.com/oseledets/TT-Toolbox"">http://github.com/oseledets/TT-Toolbox</ext-link>; to be consistent, we use the GitHub version of July 12, 2012 i"
2,PMC3953644,"eledets/TT-Toolbox"">http://github.com/oseledets/TT-Toolbox</ext-link>; to be consistent, we use the GitHub version of July 12, 2012 in all examples below. We run the <inline-formula><inline-graphic xlink:hr"
