,PMCID,sentence
0,PMC4559436,"hon module and is easily installed as a Docker image or a WinPython self-sufficient package, with a Jupyter Notebook GUI, or as a slimmer version in a Galaxy distribution.</p>
      </abstract>
      <fundin"
1,PMC4559436,"W6J1J"">http://goo.gl/yW6J1J</ext-link>). A frozen version of the programme (Version 1.0), utilizing Jupyter Notebook as interface, is available as a self contained environment in a Docker image (<ext-link ex"
2,PMC4559436,"W6J1J"">http://goo.gl/yW6J1J</ext-link>). A frozen version of the programme (Version 1.0), utilizing Jupyter Notebook as interface, is available as a self contained environment in a Docker image (<ext-link ex"
3,PMC4559436,"cbi.1004447.ref021"" ref-type=""bibr"">21</xref>] code classes. ReproPhylo is simply accessed within a Jupyter Notebook (formerly IPython Notebook) [<xref rid=""pcbi.1004447.ref022"" ref-type=""bibr"">22</xref>]. W"
4,PMC4559436,"f>], and does not itself implement any novel data formats.</p>
      <p>ReproPhylo can be run using Jupyter Notebook [<xref rid=""pcbi.1004447.ref022"" ref-type=""bibr"">22</xref>], where it is interacted with u"
5,PMC4559436," testing with undergraduates, postgraduates, and academics without coding experience indicates that Jupyter Notebook is an effective GUI for scientists lacking a background in programming.</p>
      <sec id="
6,PMC4559436,      <p>Several examples of use of the ReproPhylo phylogenomic analytical pipeline are provided as Jupyter notebooks in the distribution files. We focus here on parameter space exploration using ReproPhylo 
7,PMC4559436," as <xref rid=""pcbi.1004447.s003"" ref-type=""supplementary-material"">S2 Methods</xref>. The original Jupyter Notebook, together with the input and output files and figures, has been archived on FigShare (doi:"
8,PMC4559436,"ections and expansions by the user community. A frozen version of the module (Version 1), utilizing Jupyter Notebook as interface, is available as a self-contained environment in a Docker image (<ext-link ex"
9,PMC4559436,"ata"" id=""pcbi.1004447.s005"">
        <label>S1 Example</label>
        <caption>
          <title>A Jupyter notebook demonstrating version control in ReproPhylo (also available in FigShare (<ext-link ext-lin"
0,PMC5072699,"<p>Can manual corrections be avoided in favor of programmatic or self-documenting approaches (e.g., Jupyter notebook or R markdown)?</p>
        </list-item>
        <list-item>
          <p>How will changes"
0,PMC5145134,"eter sweeps directly from the UI. To demonstrate the dual use of APIs and UIs, we provide a IPython/Jupyter Notebook in <xref ref-type=""supplementary-material"" rid=""pcbi.1005220.s002"">S2 Code</xref> that wil"
1,PMC5145134,""" id=""pcbi.1005220.s002"">
        <label>S2 Code</label>
        <caption>
          <title>IPython/Jupyter notebook showing how all the models and experiments in <xref ref-type=""supplementary-material"" rid="
0,PMC5444614,"group>
        </subj-group>
      </article-categories>
      <title-group>
        <article-title>Jupyter and Galaxy: Easing entry barriers into complex data analyses for biomedical researchers</article-ti"
1,PMC5444614,"as very limiting, as initial analyses of data often involve interactive exploration with tools like Jupyter or RStudio&#x2014;powerful platforms that are becoming increasingly popular in life sciences. Here,"
2,PMC5444614,"e Environment framework, designed to combine Galaxy's tools and workflows with environments such as Jupyter.</p>
      </abstract>
      <funding-group>
        <funding-statement>This project was supported "
3,PMC5444614," <sec sec-type=""materials|methods"" id=""sec002"">
      <title>Materials and methods</title>
      <p>Jupyter integration into Galaxy takes advantage of the recently developed and increasingly popular Docker c"
4,PMC5444614,"es. Additionally, individual sites can specify custom Docker images instead of the default provided Jupyter notebook, allowing administrators to craft Docker images more specific to their users. The default "
