,PMCID,sentence
0,PMC5363996, 3) a standard for organizing input data. Containers created this way can be easily integrated into OpenfMRI as well as other data analysis platforms. Thanks to Docker-to-Singularity conversion they can also 
0,PMC5441656,"aging and behavioural data files are available at <ext-link ext-link-type=""uri"" xlink:href=""https://openfmri.org/dataset/ds000222/"">https://openfmri.org/dataset/ds000222/</ext-link>.</meta-value>
        </cu"
1,PMC5441656,"ilable at <ext-link ext-link-type=""uri"" xlink:href=""https://openfmri.org/dataset/ds000222/"">https://openfmri.org/dataset/ds000222/</ext-link>.</meta-value>
        </custom-meta>
      </custom-meta-group>
  "
2,PMC5441656,"aging and behavioural data files are available at <ext-link ext-link-type=""uri"" xlink:href=""https://openfmri.org/dataset/ds000222/"">https://openfmri.org/dataset/ds000222/</ext-link>.</p>
    </notes>
  </fron"
3,PMC5441656,"ilable at <ext-link ext-link-type=""uri"" xlink:href=""https://openfmri.org/dataset/ds000222/"">https://openfmri.org/dataset/ds000222/</ext-link>.</p>
    </notes>
  </front>
  <body>
    <sec sec-type=""intro"" id"
0,PMC5550004,"do.242666"">https://doi.org/10.5281/zenodo.242666</ext-link>). Raw MRI data is publicly available on openfMRI (<ext-link ext-link-type=""uri"" xlink:href=""https://openfmri.org/dataset/ds000232/"">https://openfmri"
1,PMC5550004,". Raw MRI data is publicly available on openfMRI (<ext-link ext-link-type=""uri"" xlink:href=""https://openfmri.org/dataset/ds000232/"">https://openfmri.org/dataset/ds000232/</ext-link>), and can also be obtained"
2,PMC5550004,"openfMRI (<ext-link ext-link-type=""uri"" xlink:href=""https://openfmri.org/dataset/ds000232/"">https://openfmri.org/dataset/ds000232/</ext-link>), and can also be obtained by request from the MRC Cognition and B"
3,PMC5550004,"do.242666"">https://doi.org/10.5281/zenodo.242666</ext-link>). Raw MRI data is publicly available on openfMRI (<ext-link ext-link-type=""uri"" xlink:href=""https://openfmri.org/dataset/ds000232/"">https://openfmri"
4,PMC5550004,". Raw MRI data is publicly available on openfMRI (<ext-link ext-link-type=""uri"" xlink:href=""https://openfmri.org/dataset/ds000232/"">https://openfmri.org/dataset/ds000232/</ext-link>), and can also be obtained"
5,PMC5550004,"openfMRI (<ext-link ext-link-type=""uri"" xlink:href=""https://openfmri.org/dataset/ds000232/"">https://openfmri.org/dataset/ds000232/</ext-link>), and can also be obtained by request from the MRC Cognition and B"
0,PMC5963801,"reproducible science can be observed. Advances have been made in terms of openly sharing data (e.g. OpenFmri, [<xref rid=""pcbi.1006064.ref001"" ref-type=""bibr"">1</xref>]), standardizing data formats (BIDS form"
1,PMC5963801,"n-names></name>, <etal>et al</etal>
<article-title>Toward open sharing of task-based fMRI data: the OpenfMRI project</article-title>. <source>Frontiers in Neuroinformatics</source>. <year>2013</year>;<volume>"
