,PMCID,sentence
0,PMC3923659,"""1"" colspan=""1"">c-Jun, JUN</td>
                  <td align=""left"" rowspan=""1"" colspan=""1"">1jnmA, 1fosF</td>
                  <td align=""left"" rowspan=""1"" colspan=""1"">4</td>
                  <td align="
1,PMC3923659,"eft"" rowspan=""1"" colspan=""1"">1ukh</td>
                  <td align=""left"" rowspan=""1"" colspan=""1"">1fosF</td>
                  <td align=""left"" rowspan=""1"" colspan=""1"">3</td>
                  <td align="
2,PMC3923659,"ft"" rowspan=""1"" colspan=""1"">1fosE</td>
                  <td align=""left"" rowspan=""1"" colspan=""1"">1fosF</td>
                  <td align=""left"" rowspan=""1"" colspan=""1"">3</td>
                  <td align="
3,PMC3923659,"            </tr>
                <tr>
                  <td align=""left"" rowspan=""1"" colspan=""1"">1fosF</td>
                  <td align=""left"" rowspan=""1"" colspan=""1"">2r9s</td>
                  <td ali"
0,PMC3952815,">[7]</xref>, <xref rid=""pcbi.1003495-Marten1"" ref-type=""bibr"">[13]</xref>, <xref rid=""pcbi.1003495-Hosford1"" ref-type=""bibr"">[42]</xref>, <xref rid=""pcbi.1003495-Destexhe4"" ref-type=""bibr"">[43]</xref>. T"
1,PMC3952815,"ynamical Systems. Philadelphia PA: SIAM.</mixed-citation>
      </ref>
      <ref id=""pcbi.1003495-Hosford1"">
        <label>42</label>
        <mixed-citation publication-type=""journal"">
<name><surname>"
2,PMC3952815,"rd1"">
        <label>42</label>
        <mixed-citation publication-type=""journal"">
<name><surname>Hosford</surname><given-names>DA</given-names></name>, <name><surname>Clark</surname><given-names>S</giv"
0,PMC3998880,"pe=""journal"">
<name><surname>Dehouck</surname><given-names>Y</given-names></name>, <name><surname>Grosfils</surname><given-names>A</given-names></name>, <name><surname>Folch</surname><given-names>B</give"
0,PMC4014389,"ames></name>, <name><surname>Lasarge</surname><given-names>CL</given-names></name>, <name><surname>Hosford</surname><given-names>BE</given-names></name>, <name><surname>Rosen</surname><given-names>JM</gi"
0,PMC4102405,"pe=""journal"">
<name><surname>Dehouck</surname><given-names>Y</given-names></name>, <name><surname>Grosfils</surname><given-names>A</given-names></name>, <name><surname>Folch</surname><given-names>B</give"
0,PMC4102429,"-names></name>, <name><surname>Vincze</surname><given-names>T</given-names></name>, <name><surname>Posfai</surname><given-names>J</given-names></name>, <name><surname>Macelis</surname><given-names>D</giv"
0,PMC4125052,"tal trials in the vicinity of susceptible commercial growing operations <xref rid=""pcbi.1003753-SantosFilho1"" ref-type=""bibr"">[18]</xref>, <xref rid=""pcbi.1003753-Martins1"" ref-type=""bibr"">[19]</xref>.</"
1,PMC4125052," for pathogens which cannot be effectively controlled by chemical means <xref rid=""pcbi.1003753-SantosFilho1"" ref-type=""bibr"">[18]</xref>, <xref rid=""pcbi.1003753-Martins1"" ref-type=""bibr"">[19]</xref>. V"
2,PMC4125052,"49</fpage>&#x2013;<lpage>156</lpage>.</mixed-citation>
      </ref>
      <ref id=""pcbi.1003753-SantosFilho1"">
        <label>18</label>
        <mixed-citation publication-type=""journal"">
<name><surname"
0,PMC4133158,"5</fpage>&#x2013;<lpage>11059</lpage>.</mixed-citation>
      </ref>
      <ref id=""pcbi.1003759-RamosFernndez1"">
        <label>18</label>
        <mixed-citation publication-type=""journal"">
<name><surn"
